country,country_code,fdi_net_current_usd
Aruba,ABW,-28775856.424581
Afghanistan,AFG,169146608.0
Angola,AGO,9282167512.38257
Albania,ALB,989278987.84631
Andorra,AND,
Arab World,ARB,37104037008.9551
United Arab Emirates,ARE,8550901846.585391
Argentina,ARG,11758994011.286001
Armenia,ARM,178295867.11618
American Samoa,ASM,
Antigua and Barbuda,ATG,107460503.54774
Australia,AUS,45051418215.3716
Austria,AUT,-7972751912.9417
Azerbaijan,AZE,4047630000.0
Burundi,BDI,49622865.770581104
Belgium,BEL,-24266120892.832
Benin,BEN,149642289.651405
Burkina Faso,BFA,231726245.403083
Bangladesh,BGD,2831152765.15515
Bulgaria,BGR,2609370000.0
Bahrain,BHR,64893617.0212766
"Bahamas, The",BHS,76075924.75
Bosnia and Herzegovina,BIH,383089615.729344
Belarus,BLR,1652300000.0
Belize,BLZ,59119223.8981489
Bermuda,BMU,-143094386.12
Bolivia,BOL,554643532.297183
Brazil,BRA,74718044773.96
Barbados,BRB,69489165.7721804
Brunei Darussalam,BRN,171289167.823995
Bhutan,BTN,6450953.8497443
Botswana,BWA,679446475.856951
Central African Republic,CAF,3000000.0
Canada,CAN,61642188665.8004
Central Europe and the Baltics,CEB,22677378175.1534
Switzerland,CHE,115891596415.604
Channel Islands,CHI,
Chile,CHL,21050769694.5994
China,CHN,242489331627.399
Cote d'Ivoire,CIV,494209964.321162
Cameroon,CMR,694057556.5515679
"Congo, Dem. Rep.",COD,1265374483.88029
"Congo, Rep.",COG,4278118364.9803295
Colombia,COL,11723216758.3177
Comoros,COM,5146839.5062
Cabo Verde,CPV,96071472.8368678
Costa Rica,CRI,2955521680.8396697
Caribbean small states,CSS,2189776814.58921
Cuba,CUB,
Curacao,CUW,146435754.189944
Cayman Islands,CYM,52430528000.0
Cyprus,CYP,8106710245.6904
Czech Republic,CZE,1699914616.6024199
Germany,DEU,54117739829.4413
Djibouti,DJI,123998424.48795901
Dominica,DMA,11051185.7333333
Denmark,DNK,1850770714.86075
Dominican Republic,DOM,2227300000.0
Algeria,DZA,-537792920.9218559
East Asia & Pacific (excluding high income),EAP,306306693297.118
Early-demographic dividend,EAR,218529833381.504
East Asia & Pacific,EAS,616477347729.831
Europe & Central Asia (excluding high income),ECA,58701719779.7824
Europe & Central Asia,ECS,811340900223.5591
Ecuador,ECU,1322490337.30748
