country,country_code,fertility_rate_resid
Aruba,ABW,0.05291310929044846
Afghanistan,AFG,0.2708663616655347
Angola,AGO,2.483710099162497
Albania,ALB,-0.7110016345341963
Arab World,ARB,1.2544775328465159
United Arab Emirates,ARE,0.11237824871850988
Argentina,ARG,0.3352547749135657
Armenia,ARM,-1.2776799251900648
Antigua and Barbuda,ATG,0.12427622199394728
Australia,AUS,0.0871873688857765
Austria,AUT,-0.23061898214616994
Azerbaijan,AZE,-0.12770320631459464
Burundi,BDI,0.9505918643822895
Belgium,BEL,-0.0222343682909123
Benin,BEN,0.5670742356281302
Burkina Faso,BFA,0.8488366668335461
Bangladesh,BGD,-2.0416536745367475
Bulgaria,BGR,-0.5226463278361992
Bahrain,BHR,0.33433908873289275
"Bahamas, The",BHS,-0.024505648065551
Bosnia and Herzegovina,BIH,-1.0811524378534825
Belarus,BLR,-0.3228470334769378
Belize,BLZ,-0.401921859612135
Bolivia,BOL,-0.3906136848640802
Brazil,BRA,-0.4080906650736684
Barbados,BRB,-0.28084508782377005
Brunei Darussalam,BRN,0.2444050330515284
Bhutan,BTN,-0.9266149666505341
Botswana,BWA,0.6411358922505213
Central African Republic,CAF,0.08424772798343394
Canada,CAN,-0.12293530095029515
Central Europe and the Baltics,CEB,-0.3859444973951882
Switzerland,CHE,-0.14362633358126353
Chile,CHL,-0.1126512091457994
China,CHN,-0.5820914450017525
Cote d'Ivoire,CIV,0.8300944970769839
Cameroon,CMR,0.6445817372467646
"Congo, Dem. Rep.",COD,1.3992167435557654
"Congo, Rep.",COG,1.164632190770968
Colombia,COL,-0.3698894437231055
Comoros,COM,0.07562618123020659
Cabo Verde,CPV,-1.0897663578836783
Costa Rica,CRI,-0.34669736655252525
Caribbean small states,CSS,-0.09169023821934896
Cyprus,CYP,-0.4426377289680763
Czech Republic,CZE,-0.20978301569379565
Germany,DEU,-0.2215045907818558
Denmark,DNK,-0.011289576600048479
Dominican Republic,DOM,0.23908827515093822
Algeria,DZA,0.6477570624666567
East Asia & Pacific (excluding high income),EAP,-0.4583227534986656
Early-demographic dividend,EAR,-0.3185456648945526
East Asia & Pacific,EAS,-0.32206806359613416
Europe & Central Asia (excluding high income),ECA,-0.06365875338889326
Europe & Central Asia,ECS,-0.04450872876291223
Ecuador,ECU,0.06395740623131152
"Egypt, Arab Rep.",EGY,0.7723534994516927
Euro area,EMU,-0.18164325211025178
Spain,ESP,-0.43985242455927454
Estonia,EST,-0.2330476140888873
