,country_code,country,country_code,happiness,
1,,"China, Macao SAR",NA,NA,
2,,"China, Hong Kong SAR",NA,NA,
3,ABW,Aruba,NA,NA,sw
4,AFG,Afghanistan,Afghanistan,3.9828546,
5,AGO,Angola,NA,NA,
6,ALB,Albania,Albania,4.6066508,
7,ANG,Anguilla,NA,NA,
8,ARG,Argentina,Argentina,6.6971307,
9,ARM,Armenia,Armenia,4.3483195,
10,ATG,Antigua and Barbuda,NA,NA,
11,AUS,Australia,Australia,7.3090606,
12,AUT,Austria,Austria,7.076447,
13,AZE,Azerbaijan,Azerbaijan,5.1467748,
14,BDI,Burundi,NA,NA,
15,BEL,Belgium,Belgium,6.9042192,
16,BEN,Benin,Benin,3.6246643,
17,BFA,Burkina Faso,Burkina Faso,4.4189301,
18,BGD,Bangladesh,Bangladesh,4.6334739,
19,BGR,Bulgaria,Bulgaria,4.8654013,
20,BHR,Bahrain,Bahrain,6.0073752,
21,BHS,Bahamas,NA,NA,
22,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,5.117178,
23,BLR,Belarus,Belarus,5.7189078,
24,BLZ,Belize,NA,NA,
25,BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),5.8343291,
26,BRA,Brazil,Brazil,6.5468969,
27,BRN,Brunei Darussalam,NA,NA,
28,BTN,Bhutan,Bhutan,5.0821285,
29,BWA,Botswana,Botswana,3.7619648,
30,CAF,Central African Rep.,NA,NA,
31,CAN,Canada,Canada,7.4127727,
32,CHE,Switzerland,Switzerland,7.5721369,
33,CHL,Chile,Chile,6.5327497,
34,CHN,China,China,5.3038778,
35,CIV,Cote d'Ivoire,Cote d'Ivoire,4.4450388,
36,CMR,Cameroon,Cameroon,5.0379648,
37,COD,Dem. Rep. of the Congo,Dem. Rep. of the Congo,3.9027417,
38,COG,Congo,Congo,4.6908302,
39,COL,Colombia,Colombia,6.3875718,
40,CPV,Cabo Verde,NA,NA,
41,CRI,Costa Rica,Costa Rica,6.8540044,
42,CUB,Cuba,NA,NA,
43,CUW,Cura<e7>ao,NA,NA,
44,CYM,Cayman Islands,NA,NA,
45,CYP,Cyprus,Cyprus,5.4391613,
46,CZE,Czech Rep.,Czech Rep.,6.6080174,
47,DEU,Germany,Germany,7.0371375,
48,DJI,Djibouti,NA,NA,
49,DNK,Denmark,Denmark,7.5144248,
