country,country_code,highest_ten_income_share_resid
Armenia,ARM,-3.729906605392273
Austria,AUT,-0.24315883997129006
Belgium,BEL,-2.0269537975604592
Benin,BEN,7.278563482976995
Bosnia and Herzegovina,BIH,-5.265575120447757
Belarus,BLR,-7.073458992849538
Bolivia,BOL,4.3809104673200565
Brazil,BRA,10.594919882866566
Switzerland,CHE,1.4539854600437785
Chile,CHL,9.997117682753121
Cote d'Ivoire,CIV,1.5487598760614567
Colombia,COL,9.721502866598108
Costa Rica,CRI,6.996133422097849
Cyprus,CYP,1.6775382806441783
Czech Republic,CZE,-3.3463694874848855
Germany,DEU,0.6671141193374304
Denmark,DNK,-0.2963915507111601
Dominican Republic,DOM,4.284705787881883
Ecuador,ECU,4.526342677692199
"Egypt, Arab Rep.",EGY,-2.59770178186616
Spain,ESP,0.9517195755523815
Estonia,EST,-1.9168883458318255
Ethiopia,ETH,1.0887642788120537
Finland,FIN,-1.968069307074412
France,FRA,2.1236437349685424
United Kingdom,GBR,1.0020136358997185
Georgia,GEO,-2.6228654197752377
"Gambia, The",GMB,-1.611883341158606
Greece,GRC,-0.6465785984098638
Honduras,HND,6.623297860663435
Croatia,HRV,-4.732816153242727
Hungary,HUN,-3.2078555330308056
Indonesia,IDN,-30.38843616335953
Ireland,IRL,1.439882324641463
Italy,ITA,0.7259190242301017
Kazakhstan,KAZ,-4.72635354309185
Kenya,KEN,1.258516932056878
Kyrgyz Republic,KGZ,-5.551143757371975
Lithuania,LTU,2.349633228234044
Luxembourg,LUX,0.8148183204683832
Latvia,LVA,-1.3317181205502706
Moldova,MDA,-7.886309331026791
Malta,MLT,-1.5216001027826564
Myanmar,MMR,1.3070369590087552
Malaysia,MYS,4.438455305241142
Namibia,NAM,16.89845225009771
Netherlands,NLD,-1.0590605561589754
Norway,NOR,-1.366182296866409
Pakistan,PAK,-1.4851848783059012
Panama,PAN,10.793350314406307
Peru,PER,2.4725299856994525
Portugal,PRT,1.200118656641699
Paraguay,PRY,6.343158515679825
Romania,ROU,-3.6867986504754846
Russian Federation,RUS,2.2729884148198956
El Salvador,SLV,1.3750655313117512
Slovak Republic,SVK,-5.201876099976438
Slovenia,SVN,-4.730442516985992
Sweden,SWE,-1.2295478049940343
Togo,TGO,1.2906063825303242
Thailand,THA,-1.3696457624771305
Tajikistan,TJK,-3.9368041338109308
Turkey,TUR,6.108077503373284
Ukraine,UKR,-8.828546320986874
Uruguay,URY,1.3379136672804819
Kosovo,XKX,-8.920695404222144
Zambia,ZMB,14.039526350187156
