country,country_code,hiv_prevalence_resid
Angola,AGO,1.0991344603478919
Albania,ALB,-0.45683599089573323
Argentina,ARG,-0.07057436286392021
Armenia,ARM,-0.4258689193213792
Australia,AUS,-0.12478603927458284
Austria,AUT,-0.10149849244578263
Azerbaijan,AZE,-0.38608654591540503
Burundi,BDI,-0.444560907662946
Benin,BEN,-0.3763673473168212
Burkina Faso,BFA,-0.6272348329777686
Bangladesh,BGD,-1.1311279807403989
Bulgaria,BGR,-0.3834121000968782
Bahrain,BHR,-0.12080697024307696
"Bahamas, The",BHS,1.6197161090497507
Belarus,BLR,-0.08241597496533254
Belize,BLZ,1.1576777611861324
Bolivia,BOL,-0.5157600509911255
Brazil,BRA,0.09589170675975744
Barbados,BRB,1.0121592239487787
Botswana,BWA,22.598874197401745
Central African Republic,CAF,2.643172074877898
Chile,CHL,0.04304780776104267
Cote d'Ivoire,CIV,1.6824341830616165
Cameroon,CMR,2.6883231113958486
"Congo, Dem. Rep.",COD,-0.7311966195728112
"Congo, Rep.",COG,2.26267171536099
Colombia,COL,-0.02207440614030709
Comoros,COM,-1.211396226567174
Cabo Verde,CPV,-0.291904485869239
Costa Rica,CRI,-0.10380817413135146
Caribbean small states,CSS,1.122725315596355
Cyprus,CYP,-0.2646114124957142
Czech Republic,CZE,-0.24166440415986432
Germany,DEU,-0.013729025949818924
Denmark,DNK,-0.10831643843980457
Dominican Republic,DOM,0.48327329276849607
Algeria,DZA,-0.412246090665108
Early-demographic dividend,EAR,0.1500363616569349
Europe & Central Asia (excluding high income),ECA,0.16336000137450318
Europe & Central Asia,ECS,0.08616227201410948
Ecuador,ECU,-0.2602295758571646
"Egypt, Arab Rep.",EGY,-0.47185704971048936
Euro area,EMU,0.035009756625488775
Spain,ESP,0.07373719957958547
Estonia,EST,0.20001255976697518
Ethiopia,ETH,-0.435529430815758
European Union,EUU,-0.017140827723835406
Fragile and conflict affected situations,FCS,1.480575106293341
France,FRA,0.23298774551555357
Gabon,GAB,3.814887689421913
Georgia,GEO,-0.1905621523896387
Ghana,GHA,0.554147992916312
