,country_x,country_code,gdp_per_capita,population,migrant_stock,maternal_mortality_rate,life_expectancy,hiv_prevalence,urbpop,lowest_twenty_income_share,oda_pct_of_gni,net_migration,poverty_headcount_ratio_190_2011_ppp,access_to_electricity_pct_of_population,co2_tons_per_capita,mortality_under_5_per_1000_live_births,energy_use_per_capita,remittances,revenue_pct_gdp,govt_exp_educ_pct_gdp,female_literacy_pct,external_debt_pct_GNI,fdi_net_current_usd,strength_legal_rights_0_12,adolescent_fertility_rate,fertility_rate,female_employment_pct_of_total,lowest_ten_income_share,highest_ten_income_share,trade_pct_gdp,use_internet_pct_pop,mobile_phone_subscriptions_pct_pop,days_required_to_start_business,ease_doing_business,tax_revenue_pct_gdp,net_lending_borrowing_pct_gdp,central_govt_debt_pct_gdp,risk_premium,biodiversity_protected_areas,renewable_freshwater_per_capita,slum_population_pct_urban_population,pm25_pct_population,population_resid,migrant_stock_resid,maternal_mortality_rate_resid,life_expectancy_resid,hiv_prevalence_resid,urbpop_resid,lowest_twenty_income_share_resid,oda_pct_of_gni_resid,net_migration_resid,poverty_headcount_ratio_190_2011_ppp_resid,access_to_electricity_pct_of_population_resid,co2_tons_per_capita_resid,mortality_under_5_per_1000_live_births_resid,energy_use_per_capita_resid,remittances_resid,revenue_pct_gdp_resid,govt_exp_educ_pct_gdp_resid,female_literacy_pct_resid,external_debt_pct_GNI_resid,fdi_net_current_usd_resid,strength_legal_rights_0_12_resid,adolescent_fertility_rate_resid,fertility_rate_resid,female_employment_pct_of_total_resid,lowest_ten_income_share_resid,highest_ten_income_share_resid,trade_pct_gdp_resid,use_internet_pct_pop_resid,mobile_phone_subscriptions_pct_pop_resid,days_required_to_start_business_resid,ease_doing_business_resid,tax_revenue_pct_gdp_resid,net_lending_borrowing_pct_gdp_resid,central_govt_debt_pct_gdp_resid,risk_premium_resid,biodiversity_protected_areas_resid,renewable_freshwater_per_capita_resid,slum_population_pct_urban_population_resid,pm25_pct_population_resid,country_y,asylum_seekers,idps,refugees,recognized,total_decisions,recognition_rate,iso_3,iso_2,refugees_per_pop,asylum_seekers_per_pop,Unnamed: 0,country,country_code.1,happiness,Unnamed: 5,Country Rank,Region,ti_cpi,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
0,Afghanistan,AFG,1918.9384591395608,33736494.0,1.17554692684705,396.0,63.288000000000004,,24.803,,21.243960938697604,-299999.0,,71.5,0.29944499087551696,73.1,,341311420.486348,10.1311181683697,3.24202,,12.9987650001512,169146608.0,9.0,73.1264,4.802,16.7519165613063,,,55.1255265979591,8.26,58.420528226792,8.5,167.0,7.58538233129798,-1.2804403846416201,,,0.104707040342723,1439.3421824640195,62.7,100.0,15550610.398602525,-0.6632726918530172,12.410459691482115,0.6941790877926834,,-8.317033879107857,,15.394908411148364,-239166.33552895702,,30.196371584160207,0.02984917576038904,3.89868734379543,,-715738743.438904,-9.549046073142023,-1.009352025296427,,-20.8513867101442,-1324626465.4784553,3.754680319434504,-16.464843404586393,0.2708663616655347,-29.25302823430597,,,-10.843936749369881,-4.640601065050662,-8.550501267136196,-9.882564560415393,20.515642595755708,-8.450692542448826,0.761249956503153,,,-10.515527051931754,-2292.203904080885,-1.8485685441678608,-0.004820942885586986,Afghanistan,82.0,1174306.0,257554.0,97.0,114.0,85.08771929824562,AFG,AF,0.007634284700716085,2.4306023026577687e-06,4,Afghanistan,Afghanistan,3.9828546,,166,Err:507,11,4,3.49,2,19,5,17,12.0,,19.0,,,,2.0,,,11.0,,
1,Angola,AGO,7082.24117532182,27859305.0,0.427004679966497,477.0,61.24100000000001,1.9,63.44600000000001,,0.344612753685719,0.0,,42.0,1.29132831504477,88.9,545.040490755249,11114711.6,18.7766451748876,,,28.942173217023,9282167512.38257,1.0,157.3554,5.766,50.0786951160007,,,62.888520784974396,12.4,49.838041544826794,36.0,173.0,11.002019136671601,-6.1165150063357325,,9.67804295543776,5.00471334206571,5497.67600605428,55.5,100.0,11688762.073876195,-1.7293792453621697,261.4217932744302,-7.194783261844329,1.099134460347892,17.46611355561182,,-1.6475369656106291,64919.981082210536,,-26.409366911237683,-0.2817250944800638,44.66310830802385,-254.39323900154702,-1994829945.330971,-2.562616555637508,,,-14.764179524522152,6916204032.975347,-3.8441535764367503,95.32864856135822,2.4837100991624967,7.194458635491081,,,-8.076142556782152,-17.409738019173847,-37.89175759080352,15.425895080020867,54.522368038977184,-4.511732712821027,-3.9032720101967935,,3.1078738315989645,-4.151402643275599,1589.3690879196345,21.01585415634084,0.056505282960799263,Angola,30143.0,0.0,15555.0,116.0,165.0,70.3030303030303,AGO,AO,0.0005583412795114595,0.0010819724325499146,5,Angola,,,,163,Err:507,15,5,1.8,11,21,12,18,,17.0,15.0,,,,,12.0,21.0,11.0,,
2,Albania,ALB,11661.981184261002,2880703.0,1.98903641031678,29.0,78.17399999999998,0.1,57.434,,2.8950340706142,-40000.0,,100.0,1.97876331208568,9.4,808.4558395959441,1290350891.31656,24.738150200759,3.4379699999999995,,71.2313001644357,989278987.84631,6.0,20.6922,1.714,42.072863803276,,,71.8010161004583,63.252932696931,116.337512554082,5.0,63.0,18.51578985530989,-3.02836282608953,79.8644181475793,5.985732146559348,13.147749461773401,9310.84516168334,,100.0,-13523321.870053213,-0.8258301091164281,-71.54095983079084,5.830615988397213,-0.4568359908957332,0.7118265689530858,,1.833505051845952,22086.64554314295,,10.003619207664373,-0.8260884504885209,-16.765069637743498,-432.4762010369605,-921008658.5486133,1.838973539836644,-1.0266711381524003,,29.234214306066107,-1925203848.6210504,1.4653494391352655,-24.01279593769335,-0.7110016345341963,0.3368952665840155,,,-2.1815506312778012,20.56329772467765,12.879887846048831,-16.937677967113896,-35.803909127609096,3.3925571691644656,-0.6918239013721781,31.072323061384807,1.085276181478343,4.404026586528047,5348.141859958302,,0.08196988822415108,Albania,830.0,0.0,104.0,45.0,241.0,18.672199170124482,ALB,AL,3.610229864029718e-05,0.00028812411414852555,6,Albania,Albania,4.606650800000001,,88,Err:507,36,7,3.58,18,49,30,42,,49.0,36.0,,,,18.0,41.0,38.0,32.0,,37.0
3,Argentina,ARG,20356.9155095569,43417765.0,4.80529233472193,52.0,76.415,0.4,91.50299999999999,,-0.00323329341821504,24002.0,,99.99520874023442,4.74679745467325,11.4,2015.1870402892998,494433532.139966,22.1490803040164,5.77611,99.20877,,11758994011.286001,3.0,63.2644,2.3080000000000003,40.90243773897721,,,22.4862260889792,68.0430641088122,142.434809806539,24.5,119.0,12.3365069418291,-3.3901103471953498,,,7.52859334896618,6793.61814026332,16.7,98.322282,24369711.035691977,-0.8402033680442829,10.228124934143494,1.4785538125656927,-0.07057436286392021,26.59730077656147,,-0.3182541383930497,45992.06943793458,,1.6348012071561158,0.23147904709872336,-2.1662594059157865,53.35508841633509,-1418656879.218651,-5.31862181163795,1.2017695406290718,5.343984783473856,,7024556093.996936,-1.9734350583150602,30.25806895802191,0.3352547749135657,-2.4128392178053275,,,-63.133997488841494,9.388164290172183,21.481817096531802,6.4083598397888615,45.97188099839731,-3.8386376313228463,-1.10658084900603,,,-2.3456314399431983,2103.0159812509078,-2.341035224437512,-1.4454306772180132,Argentina,1077.0,0.0,3207.0,115.0,1048.0,10.973282442748092,ARG,AR,7.386377442505389e-05,2.4805514516926423e-05,8,Argentina,Argentina,6.6971307,,106,Err:507,32,7,1.84,25,38,29,35,,28.0,36.0,,25.0,,37.0,31.0,38.0,32.0,,
4,Armenia,ARM,8727.55832503575,2916950.0,6.33589288838696,25.0,74.445,0.2,63.085,8.2,3.1599943559622403,-24989.0,1.9,100.0,1.9027589101995,14.0,1018.0712403052803,1491475903.47047,23.0924926716717,2.80591,,81.21899350625179,178295867.11618,4.0,24.785,1.6219999999999999,46.71852583971379,3.4,26.7,71.5932653468932,59.102377714878905,118.770976533708,4.5,41.0,20.931220827140997,-4.70036885380563,,4.6945428177529,23.1090030789546,2360.1103839351504,14.4,100.0,-12804927.148832195,4.052573809313708,-136.34879765530772,4.236029793714152,-0.4258689193213792,13.022019920155618,2.055918814673328,1.6059950604034752,40173.911485884564,-8.712728420143849,22.97405215944579,-0.09266428421424422,-22.37532665743333,61.688048333292606,-767156956.824029,1.203005686503488,-1.596666352507424,,36.88649782999082,-2453874548.765221,-0.7119470910800958,-28.98005820079237,-1.2776799251900648,4.682741982428496,1.0424946003603694,-3.729906605392273,-0.6870169130156539,24.114281193877915,24.803421458525985,-16.741613216888535,-69.36280334112114,5.572348224922706,-2.4396963455409573,,-1.1896315931948207,14.340568596572545,-1591.198375130551,-16.497235051408197,0.0733344404102354,Armenia,66.0,0.0,19319.0,204.0,346.0,58.95953757225434,ARM,AM,0.006623013764377175,2.262637343800888e-05,9,Armenia,Armenia,4.3483195,,95,Err:507,35,5,2.98,28,45,30,40,,45.0,28.0,,,,,31.0,,32.0,,37.0
5,Australia,AUS,46220.25126423071,23850784.0,28.2184096915625,6.0,82.4,0.1,85.70100000000002,,,849966.0,,100.0,15.370137760423301,3.8,5328.22399187752,2173205676.4563,24.5092524750155,5.32175,,,45051418215.3716,11.0,13.6616,1.8090000000000002,45.863656696867,,,41.5473873260458,84.560519347399,108.279330925333,2.5,18.0,22.042809811743396,-2.64499162454268,47.0405895137794,,28.591841723667606,20932.484314038702,,0.026909100000000002,6109743.452155378,14.596894435080054,-3.2115930322389357,2.143007052686727,-0.12478603927458284,3.7939735927818106,,,702959.2284088328,,0.06634453210571678,6.9955943237223135,-1.3943812205087651,663.7502137239671,-415327343.90752506,-7.0843353817667865,-0.08515415963315752,,,36097773048.564766,5.6121070297961655,1.46796213105954,0.0871873688857765,0.017025938864470902,,,-46.67548867823229,2.855317800916737,-16.542002448276065,-7.2346189084993515,-18.593444164033023,3.1555181796240848,-0.9454479862932744,-19.090727491603765,,15.700975674532357,16139.661196101955,,-95.40620112773584,Australia,20677.0,0.0,36917.0,3106.0,9114.0,34.079438226903655,AUS,AU,0.0015478317190747272,0.0008669316698352558,11,Australia,Australia,7.3090606,,13,Err:507,79,8,1.5,71,83,77,81,,81.0,,,82.0,81.0,81.0,79.0,71.0,83.0,74.0,
6,Austria,AUT,49883.0412977321,8642699.0,17.465726250517,4.0,81.19024390243901,0.1,57.715,7.9,,99999.0,0.7,100.0,6.8698679296766905,3.7,3763.3279025587,2862546684.4218802,45.0711577242591,5.4530400000000006,,,-7972751912.9417,4.0,7.522,1.49,46.6745007772089,3.0,23.8,102.13601041785499,83.9401419315026,155.215524706184,22.0,26.0,26.7793872371983,-1.09823367470536,,,28.4439825865815,6435.49133689259,,99.9421494,-7805241.492968488,2.4395755475284258,-3.8627210391668934,0.6898766887759678,-0.10149849244578264,-25.608820620193054,-0.3478254974700441,,-54352.7905111021,0.4520882968140733,-0.0010403186069680712,-2.021736196332764,-1.2686155818571043,-1376.4812964508185,281333357.96383524,13.637316467954712,0.001104980100012476,,,-16933075510.108671,-1.3002784358817978,-3.5606735136976315,-0.23061898214616994,0.7073145261052076,-0.215931641794696,-0.2431588399712901,13.040543238284956,0.8297172569736517,30.272928808755694,12.603143726743053,-9.084339453467292,8.218660300907214,0.4795443098358307,,,15.689150338116253,1577.0144317379782,,5.2846501462854025,Austria,80075.0,0.0,72216.0,14413.0,38052.0,37.877115526122154,AUT,AT,0.008355723136950622,0.00926504556042042,12,Austria,Austria,7.076447,,16,Err:507,76,7,1.76,70,81,73,79,,77.0,,,70.0,81.0,81.0,79.0,71.0,73.0,,
7,Azerbaijan,AZE,17782.026152714097,9649341.0,2.7090615839625496,25.0,71.921,0.1,54.714,,0.13638530619112402,0.0,,100.0,3.93156060898919,26.4,1502.07816841371,1269964000.0,34.1837072453108,2.95168,99.71714,26.952521606115603,4047630000.0,2.0,51.7,1.94,49.0220005753662,,,72.6015079073189,77.0,111.225888184477,3.5,25.0,15.603162927546899,-2.7236116219198196,,,5.51874580872895,851.0679355671831,,100.0,-9890135.420884598,-2.0054647945267834,-26.004924723259656,-2.3879554737064983,-0.38608654591540503,-9.016764653964394,,-0.32062360194208284,34616.50412394294,,2.3698365037382416,-0.1840113462498305,10.416491120390983,-256.82169200926455,-733757159.9448612,8.370345720384098,-1.5594719823926788,6.794402262940594,-17.026172031545187,-555462373.835041,-2.794097755570696,14.880557345127585,-0.12770320631459464,6.2924756568789695,,,-7.495653113332963,22.460711260239076,-6.6535843889016615,-15.860693157388287,-54.87908257634279,0.06227504615202406,-0.4037010170328892,,,-4.071566840149119,-3709.832074036309,,0.16077770009269446,Azerbaijan,220.0,618220.0,1278.0,131.0,739.0,17.726657645466847,AZE,AZ,0.00013244427780093997,2.2799484441476368e-05,13,Azerbaijan,Azerbaijan,5.1467748,,119,Err:507,29,6,3.25,21,38,24,34,,37.0,23.0,,,,,21.0,38.0,32.0,,21.0
8,Burundi,BDI,759.0321026471901,10199270.0,2.5656322287276203,712.0,57.093999999999994,1.1,12.078,,11.813426347532301,20000.0,,7.25208950042725,0.0444853762564713,67.1,,51041087.26285321,,6.44881,,20.4234426171714,49622865.770581104,2.0,28.0212,5.7810000000000015,52.3760107341481,,,22.85071108549069,4.86622446359511,49.0005265082697,4.0,168.0,,,,,7.592545634286258,1017.0050112264801,57.9,100.0,-8465404.852519374,0.7815391258598927,288.17086232349175,-4.114857379675897,-0.4445609076629461,-18.128741806423548,,4.892016604757184,79338.65971950778,,-27.72309961949173,0.06255110574828562,-7.9438439946310675,,-760469375.5903531,,2.221707101743073,,-10.863370653802516,-1246368152.7901688,-3.3390137506251816,-68.18801044725043,0.9505918643822896,5.560114369254904,,,-41.73791839734349,-4.115511064700323,-13.109589960091881,-13.861910769527034,14.780433759517507,,,,,-3.441965317594949,-2686.875317651888,-14.511317701515177,-0.018483223785409564,Burundi,2931.0,25000.0,53363.0,3226.0,4091.0,78.8560254216573,BDI,BI,0.005232041116668154,0.00028737350810401134,14,Burundi,,,,150,Err:507,21,5,2.94,11,28,16,26,23.0,28.0,19.0,25.0,,,,,,11.0,,
9,Belgium,BEL,45414.8905975223,11274196.0,12.283533194231902,7.0,80.9926829268293,,97.876,8.6,,240000.0,0.0,100.0,8.32815989783976,4.0,4708.221217895491,9966431485.808659,40.6949466292785,6.55238,,,-24266120892.832,4.0,5.3384,1.7,46.0490790676097,3.4,22.2,160.229325319499,85.0529,113.16582122158701,4.0,45.0,24.6673759202321,-1.14923450579528,,,24.5781622457406,1070.56284931016,,100.0,-6751330.4290119475,-1.0625392225052526,-2.579579215251666,0.8017573035145347,,16.299625446984635,0.4863681577718708,,94834.86705681306,-0.3213207241064675,0.08322293532066283,0.066944789103351,-1.260201842323358,147.29914479597028,7375463216.5217,9.06013480253539,1.1552290619798278,,,-33199845579.254436,-1.4068515544727704,-7.129025541838223,-0.0222343682909123,0.24338829066012835,0.2527809844349309,-2.0269537975604592,72.21910152980504,3.7026755047059083,-11.636947396024196,-5.8260446671590636,8.019917204483214,5.711355013961235,0.575916654325829,,,11.665782796481327,-3710.193946345592,,4.4022714338549065,Belgium,36009.0,0.0,35314.0,9389.0,24903.0,37.70228486527728,BEL,BE,0.003132285441906456,0.0031939306359406914,15,Belgium,Belgium,6.904219199999999,,15,Err:507,77,7,1.34,71,81,75,79,,79.0,,,77.0,81.0,76.0,79.0,71.0,73.0,,
