country,country_code,mortality_under_5_per_1000_live_births_resid
Afghanistan,AFG,3.89868734379543
Angola,AGO,44.66310830802385
Albania,ALB,-16.7650696377435
Arab World,ARB,20.66486982911279
United Arab Emirates,ARE,4.603656124220732
Argentina,ARG,-2.1662594059157865
Armenia,ARM,-22.375326657433327
Antigua and Barbuda,ATG,-4.797794511156178
Australia,AUS,-1.3943812205087651
Austria,AUT,-1.2686155818571043
Azerbaijan,AZE,10.416491120390985
Burundi,BDI,-7.943843994631067
Belgium,BEL,-1.260201842323358
Benin,BEN,35.48380398256771
Burkina Faso,BFA,18.101092017403275
Bangladesh,BGD,-25.773356234442183
Bulgaria,BGR,-7.288426589828562
Bahrain,BHR,2.447664362627581
"Bahamas, The",BHS,-0.6300173586244266
Bosnia and Herzegovina,BIH,-20.193232474641192
Belarus,BLR,-11.328259519031215
Belize,BLZ,-21.733183355545876
Bolivia,BOL,-7.3337988288635
Brazil,BRA,-2.751621222351453
Barbados,BRB,-3.136835299202291
Brunei Darussalam,BRN,6.234531236421584
Bhutan,BTN,-5.31151634298832
Botswana,BWA,22.62740809035026
Central African Republic,CAF,54.66356459375153
Canada,CAN,-0.0310730392407077
Central Europe and the Baltics,CEB,-4.384299013945526
Switzerland,CHE,-0.026569716954707445
Chile,CHL,-3.89886099248759
China,CHN,-9.439552890640613
Cote d'Ivoire,CIV,33.29693174363412
Cameroon,CMR,28.74481340632326
"Congo, Dem. Rep.",COD,23.093452810580857
"Congo, Rep.",COG,1.5050942514972192
Colombia,COL,-5.8014792895271725
Comoros,COM,7.670781154802327
Cabo Verde,CPV,-28.22194553800143
Costa Rica,CRI,-8.997999934201863
Caribbean small states,CSS,1.9398768080496573
Cyprus,CYP,-5.301600660669729
Czech Republic,CZE,-4.517282749873868
Germany,DEU,-1.182964242401344
Dominica,DMA,1.9532320976385051
Denmark,DNK,-0.8321304565332008
Dominican Republic,DOM,11.002271041665917
Algeria,DZA,4.945000907189524
East Asia & Pacific (excluding high income),EAP,-5.114531710277895
Early-demographic dividend,EAR,4.571940856571317
East Asia & Pacific,EAS,-0.7356129527268855
Europe & Central Asia (excluding high income),ECA,0.12280587674201371
Europe & Central Asia,ECS,1.4177151602787923
Ecuador,ECU,-11.66617707852262
"Egypt, Arab Rep.",EGY,-4.996928188399156
Euro area,EMU,-1.9830020996568143
Spain,ESP,-4.019507753439366
Estonia,EST,-6.008604212689946
Ethiopia,ETH,-6.436821844829524
European Union,EUU,-2.043469368140382
Fragile and conflict affected situations,FCS,19.313493121004022
Finland,FIN,-3.2458121663509334
Fiji,FJI,-10.272299394269794
France,FRA,-1.6885424760597472
"Micronesia, Fed. Sts.",FSM,-27.248136337480396
Gabon,GAB,36.66067778252048
United Kingdom,GBR,-1.2190691274556213
Georgia,GEO,-20.36789517649934
Ghana,GHA,-3.8759102166865986
Guinea,GIN,22.26558199075876
"Gambia, The",GMB,-2.5792498821359118
Guinea-Bissau,GNB,19.59982504093618
Equatorial Guinea,GNQ,87.07726613381465
Greece,GRC,-4.961033265606983
Grenada,GRD,-5.523806800193853
Guatemala,GTM,-11.417617498366482
Guyana,GUY,-8.80276057633914
High income,HIC,0.3761059280164405
Honduras,HND,-36.41847646089864
Heavily indebted poor countries (HIPC),HPC,8.897639191670706
Croatia,HRV,-6.859210584260599
Haiti,HTI,4.9942556077132
Hungary,HUN,-4.930357559409378
IBRD only,IBD,2.637434364070838
IDA & IBRD total,IBT,14.944424915926
IDA total,IDA,13.562356719655384
IDA blend,IDB,31.879312185774985
Indonesia,IDN,-0.6678372644637527
IDA only,IDX,4.202230168794571
India,IND,-4.618312840947233
Ireland,IRL,-0.4469378727812616
"Iran, Islamic Rep.",IRN,-0.19323551166390374
Iraq,IRQ,13.90247751187919
Iceland,ISL,-2.8027807075170674
Israel,ISR,-3.1412808782290433
Italy,ITA,-3.255899161335229
Jamaica,JAM,-20.677402495842056
Jordan,JOR,-16.700148041505457
Japan,JPN,-2.861297309075539
Kazakhstan,KAZ,1.442008804641425
Kenya,KEN,-15.029444308202613
Kyrgyz Republic,KGZ,-39.32401911299448
Cambodia,KHM,-29.34532822682209
Kiribati,KIR,-10.614573735289483
St. Kitts and Nevis,KNA,4.343788077482932
"Korea, Rep.",KOR,-3.617301601993309
Kuwait,KWT,4.700731908166991
Latin America & Caribbean (excluding high income),LAC,-1.2213598243354227
Lao PDR,LAO,19.17361283811934
Lebanon,LBN,-12.418975374134243
Liberia,LBR,7.777719101856434
Libya,LBY,-4.92570066902892
St. Lucia,LCA,-6.348907617413371
Latin America & Caribbean,LCN,-0.6076729227505879
Least developed countries: UN classification,LDC,5.566239891248429
Low income,LIC,5.776865866971875
Sri Lanka,LKA,-16.33588041578026
Lower middle income,LMC,5.194462366732594
Low & middle income,LMY,14.419929389832074
Lesotho,LSO,29.433046007317017
Late-demographic dividend,LTE,-5.7383924783837035
Lithuania,LTU,-4.047147207101961
Luxembourg,LUX,-1.9972581379767842
Latvia,LVA,-5.702629597917145
Morocco,MAR,-15.596327491692627
Moldova,MDA,-37.83146702525387
Madagascar,MDG,-23.671350993833045
Maldives,MDV,-11.045983588398396
Middle East & North Africa,MEA,9.120327629174662
Mexico,MEX,-1.723015668362553
Marshall Islands,MHL,-23.59586885776492
Middle income,MIC,10.707700871759698
"Macedonia, FYR",MKD,-9.17209740240536
Mali,MLI,45.12262009045027
Malta,MLT,-0.3972949097998564
Myanmar,MMR,0.14627026448975045
Middle East & North Africa (excluding high income),MNA,1.5988898729084617
Montenegro,MNE,-13.465023669712325
Mongolia,MNG,-6.162882013778013
Mozambique,MOZ,5.739440472101535
Mauritania,MRT,24.372974453415978
Mauritius,MUS,0.6269932933216662
Malawi,MWI,-11.319201774365041
Malaysia,MYS,-2.180893685385824
North America,NAC,1.9992490353746808
Namibia,NAM,18.054180119365455
Niger,NER,19.509512718442792
Nigeria,NGA,58.418732954978196
Nicaragua,NIC,-34.2614219710475
Netherlands,NLD,-0.986636803572484
Norway,NOR,-1.7086567457450341
Nepal,NPL,-29.880866999607385
Nauru,NRU,12.040497149217163
New Zealand,NZL,-0.8648388049185751
OECD members,OED,1.3771213836256688
Oman,OMN,5.60884803676527
Other small states,OSS,44.52169406412593
Pakistan,PAK,25.407868362719285
Panama,PAN,4.976046246408801
Peru,PER,-7.870040509490575
Philippines,PHL,-14.017122904966541
Palau,PLW,-2.8671307451307406
Papua New Guinea,PNG,-1.4697182943180067
Poland,POL,-4.90234411862769
Pre-demographic dividend,PRE,24.05381887686528
Portugal,PRT,-5.1643504382259104
Paraguay,PRY,-3.2858715753823304
West Bank and Gaza,PSE,-32.101283535051515
Pacific island small states,PSS,-25.580552346355233
Post-demographic dividend,PST,-0.28395931560926524
Qatar,QAT,3.2325886176751
Romania,ROU,-3.4081445919734
Russian Federation,RUS,-2.096150557077328
Rwanda,RWA,-27.560179491606235
South Asia,SAS,-1.5562119495095033
Saudi Arabia,SAU,3.6347093835682607
Sudan,SDN,10.932046653200942
Senegal,SEN,-13.477419155465164
Singapore,SGP,-1.7762164066770847
Solomon Islands,SLB,-45.455491189409095
Sierra Leone,SLE,50.39161749797513
El Salvador,SLV,-26.890457914198066
San Marino,SMR,-1.9778419596632828
Serbia,SRB,-14.77977118632603
Sub-Saharan Africa (excluding high income),SSA,21.215630713619575
South Sudan,SSD,27.589254008484104
Sub-Saharan Africa,SSF,21.285007007381324
Small states,SST,36.34339167101981
Sao Tome and Principe,STP,-28.043237974438703
Suriname,SUR,2.3694459814715287
Slovak Republic,SVK,-2.8674255644437476
Slovenia,SVN,-5.818736640183431
Sweden,SWE,-2.177981247738941
Eswatini,SWZ,19.148683731047413
Seychelles,SYC,4.6594855294022075
Chad,TCD,63.0086454291756
East Asia & Pacific (IDA & IBRD countries),TEA,-4.870700325323213
Europe & Central Asia (IDA & IBRD countries),TEC,0.11783218463648559
Togo,TGO,6.6117625620331495
Thailand,THA,-7.273768907625696
Tajikistan,TJK,-28.957166785028207
Turkmenistan,TKM,32.46076223423505
Latin America & the Caribbean (IDA & IBRD countries),TLA,-0.5635288863157655
Timor-Leste,TLS,10.716968122942575
Middle East & North Africa (IDA & IBRD countries),TMN,1.8799719807621464
Tonga,TON,-34.8793231619746
South Asia (IDA & IBRD),TSA,-1.5732185077152891
Sub-Saharan Africa (IDA & IBRD countries),TSS,21.223116590815224
Trinidad and Tobago,TTO,20.11147212297859
Tunisia,TUN,-12.71969339713442
Turkey,TUR,2.7522762635613915
Tuvalu,TUV,-34.07628699231163
Tanzania,TZA,-7.246742338047355
Uganda,UGA,-14.627157713061024
Ukraine,UKR,-30.747390236578347
Upper middle income,UMC,-3.1070438875382553
Uruguay,URY,-4.077607521717962
United States,USA,2.1588076829728715
Uzbekistan,UZB,-23.402237610477535
St. Vincent and the Grenadines,VCT,-10.25776799618556
Vietnam,VNM,-28.13457478867469
Vanuatu,VUT,-35.68244971897511
World,WLD,23.544991958065683
Samoa,WSM,-32.409942553463054
"Yemen, Rep.",YEM,-7.151022917913075
South Africa,ZAF,17.569899398939192
Zambia,ZMB,5.3059105689374775
Zimbabwe,ZWE,-10.102803418088868
