country,country_code,net_lending_borrowing_pct_gdp_resid
Afghanistan,AFG,0.761249956503153
Angola,AGO,-3.903272010196794
Albania,ALB,-0.6918239013721781
United Arab Emirates,ARE,0.27816177152913363
Argentina,ARG,-1.10658084900603
Armenia,ARM,-2.439696345540957
Australia,AUS,-0.9454479862932745
Austria,AUT,0.47954430983583074
Azerbaijan,AZE,-0.4037010170328892
Belgium,BEL,0.575916654325829
Burkina Faso,BFA,-0.3427801985884904
Bangladesh,BGD,0.7529361552708502
Bulgaria,BGR,1.6533469495610253
"Bahamas, The",BHS,-0.3566896822169605
Bosnia and Herzegovina,BIH,2.701054319729598
Belarus,BLR,4.567194501975872
Brazil,BRA,-5.172488347613552
Barbados,BRB,-6.643070083481593
Botswana,BWA,-0.7878192099400474
Canada,CAN,2.639631867328141
Central Europe and the Baltics,CEB,0.08210602015292778
Switzerland,CHE,1.3678904166109735
Chile,CHL,0.083029269061631
China,CHN,1.9719816931692007
Cote d'Ivoire,CIV,-1.259532015846029
Colombia,COL,-1.5726373210929823
Caribbean small states,CSS,0.31368244952862145
Cyprus,CYP,0.8720065064534359
Czech Republic,CZE,0.8116748908757205
Germany,DEU,2.0558524627539203
Denmark,DNK,-0.07261279907231799
Dominican Republic,DOM,2.663938805606447
East Asia & Pacific (excluding high income),EAP,1.6253299489852213
East Asia & Pacific,EAS,0.33987298086018614
Europe & Central Asia (excluding high income),ECA,1.0101664350745938
Europe & Central Asia,ECS,0.22221295103456917
"Egypt, Arab Rep.",EGY,-8.414155499776694
Euro area,EMU,-0.16101433531117038
Spain,ESP,-0.7956223388448689
Estonia,EST,1.9233681495373323
Ethiopia,ETH,-1.0917040393187327
European Union,EUU,-0.347084461475603
Finland,FIN,-0.28431962194498417
Fiji,FJI,0.14874047758156195
France,FRA,-1.7144729992200218
"Micronesia, Fed. Sts.",FSM,13.320973446813817
United Kingdom,GBR,-2.352441080213408
Georgia,GEO,1.086692059624137
Equatorial Guinea,GNQ,-1.082581272815034
Greece,GRC,-3.8651319151331873
Guatemala,GTM,0.7966887966521567
High income,HIC,-0.8187841602857353
Honduras,HND,1.2746567203927723
Hungary,HUN,-0.028577880830959135
IBRD only,IBD,-0.044100450791758394
IDA & IBRD total,IBT,-0.10549930953668119
Indonesia,IDN,-0.2728605153004833
Ireland,IRL,-1.6997997326583034
Iraq,IRQ,-3.289966187414224
Iceland,ISL,1.4417113657814538
Israel,ISR,-0.3495997181864141
Italy,ITA,-1.1387037276655816
Jamaica,JAM,1.963577974156891
Japan,JPN,-2.6072789044492404
Kazakhstan,KAZ,-0.26320249834256915
Kenya,KEN,-6.627991451646008
Kyrgyz Republic,KGZ,1.0480081319572367
Cambodia,KHM,1.324903492377553
Kiribati,KIR,57.931544209264665
"Korea, Rep.",KOR,2.768913981804379
Kuwait,KWT,-20.77786457159559
Latin America & Caribbean (excluding high income),LAC,-3.1135800868290686
Lao PDR,LAO,-1.5566905651072123
Lebanon,LBN,-4.547773754746387
Latin America & Caribbean,LCN,-2.730083845308402
Sri Lanka,LKA,-5.229717724349907
Low & middle income,LMY,-0.07937400022807095
Lesotho,LSO,0.7768858633439877
Late-demographic dividend,LTE,-0.046185949094712964
Lithuania,LTU,1.5522886574775216
Luxembourg,LUX,-0.5763082372785787
Latvia,LVA,-0.04832709506057142
Moldova,MDA,0.20878432933182633
Mexico,MEX,-0.9040778909073923
Marshall Islands,MHL,4.984973534730875
Middle income,MIC,-0.05331535071924609
"Macedonia, FYR",MKD,-1.1680161702091185
Mali,MLI,-0.55033079118915
Malta,MLT,0.7960451220314977
Myanmar,MMR,-2.115932329450475
Mongolia,MNG,-2.361896538906168
Mauritius,MUS,1.4360398135928292
Malawi,MWI,-2.4320122290061255
Malaysia,MYS,-1.015825329078707
North America,NAC,-1.5487821513912097
Namibia,NAM,-5.911780545248268
Nicaragua,NIC,1.5248419084516815
Netherlands,NLD,-0.27130834594008113
Norway,NOR,7.222349079635063
Nepal,NPL,3.11831623681155
New Zealand,NZL,2.1664056331191652
OECD members,OED,-0.6773326330862841
Peru,PER,-0.566977456583138
Philippines,PHL,0.8860883510890631
Palau,PLW,7.293331568558864
Papua New Guinea,PNG,-3.2575056450892763
Poland,POL,-0.5182573600519538
Portugal,PRT,-2.716866090580686
Paraguay,PRY,1.7168334944116468
Pacific island small states,PSS,4.261314724468956
Post-demographic dividend,PST,-0.7367327038452751
Romania,ROU,0.7434564112471365
Russian Federation,RUS,-0.10135274850988818
Rwanda,RWA,-0.3379794013113231
Senegal,SEN,-1.5989409187174113
Singapore,SGP,3.632149906226587
Solomon Islands,SLB,2.9703488288878708
El Salvador,SLV,0.9042147797431248
Slovak Republic,SVK,-0.7753003649343517
Slovenia,SVN,-1.1178831361709118
Sweden,SWE,2.13433966306309
Seychelles,SYC,3.203513658335665
East Asia & Pacific (IDA & IBRD countries),TEA,1.6297115224264893
Europe & Central Asia (IDA & IBRD countries),TEC,0.8028364318882057
Togo,TGO,-4.249069741840653
Thailand,THA,2.2671248929632974
Latin America & the Caribbean (IDA & IBRD countries),TLA,-2.7282847654621194
Timor-Leste,TLS,6.382138605658291
Trinidad and Tobago,TTO,0.5557371318292774
Turkey,TUR,2.659232784924268
Uganda,UGA,-0.4920373798030395
Ukraine,UKR,0.7454504120069445
Upper middle income,UMC,0.13558233445564127
Uruguay,URY,-0.5019880412928917
United States,USA,-2.0004459149771083
Uzbekistan,UZB,5.5634845187966135
Vanuatu,VUT,9.796959052378707
World,WLD,-0.1599480742908197
Samoa,WSM,-1.7043563485851463
South Africa,ZAF,-2.391817055950197
Zambia,ZMB,-5.785031290276266
