country,country_code,oda_pct_of_gni_resid
Afghanistan,AFG,15.394908411148366
Angola,AGO,-1.647536965610629
Albania,ALB,1.8335050518459521
Arab World,ARB,0.24989106164105868
Argentina,ARG,-0.3182541383930497
Armenia,ARM,1.6059950604034752
Antigua and Barbuda,ATG,-0.145242704863559
Azerbaijan,AZE,-0.32062360194208284
Burundi,BDI,4.892016604757184
Benin,BEN,-0.44373877561157293
Burkina Faso,BFA,3.8419080378410264
Bangladesh,BGD,-3.3861967068942476
Bosnia and Herzegovina,BIH,1.1132438157663354
Belarus,BLR,-0.23081610280482073
Belize,BLZ,0.10101564556803977
Bolivia,BOL,0.4264023897151805
Brazil,BRA,-0.5522075126452336
Bhutan,BTN,3.4213053955909425
Botswana,BWA,-0.11900484600878258
Central African Republic,CAF,23.583699563616257
Chile,CHL,-0.1622033619812474
China,CHN,-0.7278841043361969
Cote d'Ivoire,CIV,-2.8274035350707414
Cameroon,CMR,-2.3094516506930476
"Congo, Dem. Rep.",COD,0.5781606274861799
"Congo, Rep.",COG,-1.5885841440589978
Colombia,COL,-0.32812192346667146
Comoros,COM,1.4309160278422013
Cabo Verde,CPV,7.570881833051525
Costa Rica,CRI,-0.39333473086464366
Caribbean small states,CSS,-0.3073363146574253
Dominica,DMA,1.0444729520511533
Dominican Republic,DOM,-0.3194225205735363
Algeria,DZA,-0.6535913928565229
East Asia & Pacific (excluding high income),EAP,-0.8295901452965871
Early-demographic dividend,EAR,-1.0970729747704298
East Asia & Pacific,EAS,-0.5338933260642705
Europe & Central Asia (excluding high income),ECA,-0.09314323972872462
Europe & Central Asia,ECS,-0.027085335175412444
Ecuador,ECU,-0.7646509315275625
"Egypt, Arab Rep.",EGY,-0.42361212738465326
Ethiopia,ETH,-1.0685713736514506
Fragile and conflict affected situations,FCS,0.49891873296909806
Fiji,FJI,0.9702839163291259
"Micronesia, Fed. Sts.",FSM,17.229921081795226
Gabon,GAB,0.30109940405819113
Georgia,GEO,1.941736941170974
Ghana,GHA,-0.3415967829669877
Guinea,GIN,0.4129608007629164
"Gambia, The",GMB,1.8317529070996077
Guinea-Bissau,GNB,2.661950561645332
Equatorial Guinea,GNQ,-0.007550754535768547
Grenada,GRD,1.9028774603640952
Guatemala,GTM,-1.1183315917858176
Guyana,GUY,-0.8455926436639101
High income,HIC,0.08706193185968646
Honduras,HND,-0.8373725394086464
Heavily indebted poor countries (HIPC),HPC,0.223173788671283
Haiti,HTI,5.945433465735399
IBRD only,IBD,-0.8523288065769904
IDA & IBRD total,IBT,-0.931563647980854
IDA total,IDA,-1.2916923591466691
IDA blend,IDB,-1.9586618101046784
Indonesia,IDN,-1.1508773465146853
IDA only,IDX,-0.1352057780436633
India,IND,-2.327836012834547
"Iran, Islamic Rep.",IRN,-0.44135833535763386
Iraq,IRQ,0.2405940412706703
Jamaica,JAM,-1.137631561969586
Jordan,JOR,4.326681456857408
Kazakhstan,KAZ,-0.052156932320707894
Kenya,KEN,-0.9975611352646427
Kyrgyz Republic,KGZ,7.463002879464613
Cambodia,KHM,-0.4759099692189741
Kiribati,KIR,12.80798569317854
Latin America & Caribbean (excluding high income),LAC,-0.494715491323844
Lao PDR,LAO,0.9442410214199
Lebanon,LBN,1.2151236988141307
Liberia,LBR,31.362041022601495
Libya,LBY,-0.05434280153649873
St. Lucia,LCA,-0.00432306820428896
Latin America & Caribbean,LCN,-0.4454971793169562
Least developed countries: UN classification,LDC,-0.6704179756533266
Low income,LIC,1.8122195059424886
