country,country_code,population_resid
Aruba,ABW,-20258177.96679335
Afghanistan,AFG,15550610.398602523
Angola,AGO,11688762.073876197
Albania,ALB,-13523321.870053213
Arab World,ARB,379335286.55164367
United Arab Emirates,ARE,-225828.97151040658
Argentina,ARG,24369711.035691977
Armenia,ARM,-12804927.148832196
Antigua and Barbuda,ATG,-18677320.544353165
Australia,AUS,6109743.452155378
Austria,AUT,-7805241.4929684885
Azerbaijan,AZE,-9890135.420884598
Burundi,BDI,-8465404.852519374
Belgium,BEL,-6751330.429011948
Benin,BEN,-7529056.9932491295
Burkina Faso,BFA,-165260.29546502605
Bangladesh,BGD,143595047.25465202
Bulgaria,BGR,-12361149.418210208
Bahrain,BHR,-16172951.946448676
"Bahamas, The",BHS,-20572609.06322225
Bosnia and Herzegovina,BIH,-12861931.385311378
Belarus,BLR,-10054236.473729774
Belize,BLZ,-15407645.368073985
Bolivia,BOL,-5487239.188895702
Brazil,BRA,187581631.28503573
Barbados,BRB,-19230572.89521719
Brunei Darussalam,BRN,-6711442.783826314
Bhutan,BTN,-15048730.508919545
Botswana,BWA,-16454567.986638416
Central African Republic,CAF,-14158982.162544
Canada,CAN,17537367.120373137
Central Europe and the Baltics,CEB,83851477.81991187
Switzerland,CHE,-3477739.7421153747
Chile,CHL,-755259.6637546644
China,CHN,1353914066.3898184
Cote d'Ivoire,CIV,5550010.242879145
Cameroon,CMR,5296667.01983567
"Congo, Dem. Rep.",COD,57576002.577477396
"Congo, Rep.",COG,-11588664.874514483
Colombia,COL,31207400.33435852
Comoros,COM,-17106288.586037196
Cabo Verde,CPV,-15905739.176456233
Costa Rica,CRI,-13610686.71492235
Caribbean small states,CSS,-11311071.018706966
Cayman Islands,CYM,-14838495.026159536
Cyprus,CYP,-19952544.069108706
Czech Republic,CZE,-10586387.193874732
Germany,DEU,64507578.743584685
Dominica,DMA,-15852707.795506597
Denmark,DNK,-11190126.192175996
Dominican Republic,DOM,-6679115.298559573
Algeria,DZA,22444149.734940734
East Asia & Pacific (excluding high income),EAP,2021545761.8509665
Early-demographic dividend,EAR,3111867959.381978
East Asia & Pacific,EAS,2264345047.3263316
Europe & Central Asia (excluding high income),ECA,391365500.80112803
Europe & Central Asia,ECS,886402837.6393063
Ecuador,ECU,-171200.4609100055
"Egypt, Arab Rep.",EGY,77815196.84993012
Euro area,EMU,319960076.1150991
Spain,ESP,25398990.62644618
Estonia,EST,-19286167.355823915
Ethiopia,ETH,81569454.07886878
European Union,EUU,489429542.69182926
