country,country_code,risk_premium_resid
Angola,AGO,3.1078738315989645
Albania,ALB,1.085276181478343
Armenia,ARM,-1.1896315931948207
Antigua and Barbuda,ATG,0.9380944342393995
Bangladesh,BGD,-2.444488197221447
Bulgaria,BGR,3.007653411064484
"Bahamas, The",BHS,0.27265450490016363
Belize,BLZ,4.2397372798047215
Bolivia,BOL,0.8674298804033596
Brazil,BRA,25.360726136127074
Barbados,BRB,1.0696055841427583
Canada,CAN,-0.7951395661331904
Switzerland,CHE,1.0600407260730487
Cabo Verde,CPV,2.3043621766746325
Czech Republic,CZE,1.1451728291817167
Dominica,DMA,0.24398394041308524
Algeria,DZA,2.956344754800943
"Egypt, Arab Rep.",EGY,-4.741043119220601
Fiji,FJI,-1.1681518912082796
Georgia,GEO,-1.8203094875741415
Grenada,GRD,-1.5403546698190982
Guyana,GUY,4.640618277961906
Hungary,HUN,-2.191755612140224
Iceland,ISL,-1.327331151252824
Israel,ISR,0.12369113518183283
Italy,ITA,0.8923936124118677
Jamaica,JAM,4.4582599761194075
Japan,JPN,-1.9629452236850138
Kenya,KEN,-3.3803538063029244
Kyrgyz Republic,KGZ,2.52698417799545
Lebanon,LBN,-1.5826327284584973
St. Lucia,LCA,0.6004981136642362
Sri Lanka,LKA,-4.55250023183157
Lesotho,LSO,-4.3154477848951815
Moldova,MDA,-14.004954921659781
Madagascar,MDG,38.50342431115793
Maldives,MDV,-0.27224339832050237
Mexico,MEX,-3.7665964983929165
Montenegro,MNE,3.8232074890868333
Mongolia,MNG,0.27643474838586
Mozambique,MOZ,-0.3792131209123131
Mauritania,MRT,5.185081145282119
Mauritius,MUS,2.4594005564786716
Malaysia,MYS,-2.4266433208882954
Namibia,NAM,-2.3061391239040603
Nigeria,NGA,0.3780135966322318
New Zealand,NZL,-0.38538563443404383
Pakistan,PAK,-4.56066938267114
Philippines,PHL,-2.6229817852674793
Papua New Guinea,PNG,-4.578110227970839
Romania,ROU,0.4027023365724727
Rwanda,RWA,4.938101258054541
Solomon Islands,SLB,1.1366751827563117
Sierra Leone,SLE,7.389594623341047
Serbia,SRB,-5.437465140071837
South Sudan,SSD,1.770181467170742
Eswatini,SWZ,-3.467692376434621
Seychelles,SYC,-0.6403992792468891
Thailand,THA,-1.2398887603112576
Tajikistan,TJK,16.44005102122253
Trinidad and Tobago,TTO,4.368378960946368
Tanzania,TZA,-5.475487660424699
Uganda,UGA,-2.3383155269988993
Uruguay,URY,-1.5150910994035742
United States,USA,0.39951971715758816
St. Vincent and the Grenadines,VCT,1.3442197937549567
Kosovo,XKX,0.8734216333673004
South Africa,ZAF,-1.2979787127400049
Zambia,ZMB,-13.910728194214965
