country,country_code,urbpop_resid
Aruba,ABW,-34.88430474165637
Afghanistan,AFG,-8.317033879107857
Angola,AGO,17.46611355561182
Albania,ALB,0.7118265689530858
Arab World,ARB,-5.082631206251726
United Arab Emirates,ARE,-3.9384099174104676
Argentina,ARG,26.597300776561468
Armenia,ARM,13.022019920155621
Antigua and Barbuda,ATG,-40.51471782474263
Australia,AUS,3.7939735927818106
Austria,AUT,-25.608820620193043
Azerbaijan,AZE,-9.016764653964394
Burundi,BDI,-18.128741806423548
Belgium,BEL,16.299625446984635
Benin,BEN,12.080760922885226
Burkina Faso,BFA,-5.040426624971801
Bangladesh,BGD,-2.35693492981121
Bulgaria,BGR,10.078874500000204
Bahrain,BHR,6.868881890918644
"Bahamas, The",BHS,10.07386418276316
Bosnia and Herzegovina,BIH,-9.526192519409157
Belarus,BLR,13.188112598423402
Belize,BLZ,-4.173696255966242
Bolivia,BOL,22.728041944671325
Brazil,BRA,23.317153470926975
Barbados,BRB,-32.37606730583404
Brunei Darussalam,BRN,-14.694484484765411
Bhutan,BTN,-10.196341711002347
Botswana,BWA,4.384277783231454
Central African Republic,CAF,10.314578735187279
Canada,CAN,0.007977666957174279
Central Europe and the Baltics,CEB,-7.026150411947704
Switzerland,CHE,-14.186144927521156
Chile,CHL,20.779388456015468
China,CHN,-5.871810198866598
Cote d'Ivoire,CIV,12.489288950829106
Cameroon,CMR,17.497215801050864
"Congo, Dem. Rep.",COD,12.266551237687718
"Congo, Rep.",COG,22.48877743228058
Colombia,COL,19.338372473078536
Comoros,COM,-6.4965968140230785
Cabo Verde,CPV,20.262289317927312
Costa Rica,CRI,14.383703238930806
Caribbean small states,CSS,-11.775864190958444
Cayman Islands,CYM,14.974761895237634
Cyprus,CYP,-6.655666546774299
Czech Republic,CZE,-1.4814635357250125
Germany,DEU,-5.336330034612203
Dominica,DMA,15.138847862396304
Denmark,DNK,4.658369902545914
Dominican Republic,DOM,17.435699716750833
Algeria,DZA,9.299074635560466
East Asia & Pacific (excluding high income),EAP,-6.4492794581152495
Early-demographic dividend,EAR,-6.1794084923773624
East Asia & Pacific,EAS,-6.391204585450581
Europe & Central Asia (excluding high income),ECA,2.031763411175035
Europe & Central Asia,ECS,-1.3608153099000475
Ecuador,ECU,7.124151956331488
"Egypt, Arab Rep.",EGY,-12.038058191894784
Euro area,EMU,-3.1517930760998922
Spain,ESP,3.7246572196582264
Estonia,EST,-3.053636239721655
Ethiopia,ETH,-12.973439413799472
European Union,EUU,-3.1670913784234216
Fragile and conflict affected situations,FCS,1.464197679320364
Finland,FIN,5.150275742541595
Fiji,FJI,3.915790129429695
France,FRA,0.3157098516138035
"Micronesia, Fed. Sts.",FSM,-14.57750111901429
Gabon,GAB,24.327163616438163
United Kingdom,GBR,2.78557902938023
Georgia,GEO,5.180288439601462
Ghana,GHA,15.586182659782182
Guinea,GIN,2.137781182602893
"Gambia, The",GMB,26.747773383916112
Guinea-Bissau,GNB,9.953110030454745
Equatorial Guinea,GNQ,-1.3646143842330645
Greece,GRC,8.231809499145683
Grenada,GRD,-24.17773587637452
Guatemala,GTM,2.296475691577122
Guyana,GUY,-20.663708212190965
High income,HIC,-0.10528286307717849
"Hong Kong SAR, China",HKG,13.975605290081177
Honduras,HND,15.349815694417416
Heavily indebted poor countries (HIPC),HPC,0.7066870726570116
Croatia,HRV,-10.60726034774629
Haiti,HTI,19.709881438615255
Hungary,HUN,1.1215214633803328
IBRD only,IBD,-4.883340783591585
IDA & IBRD total,IBT,-4.67547321875962
IDA total,IDA,-1.6838351335263368
IDA blend,IDB,-0.13680554804543021
Indonesia,IDN,-2.112026649169941
IDA only,IDX,-2.404089991094878
India,IND,-10.84214632018849
Ireland,IRL,-26.540896574519635
"Iran, Islamic Rep.",IRN,9.714693420362927
Iraq,IRQ,7.442530795976701
Iceland,ISL,11.284599139245842
Israel,ISR,15.589227325849052
Italy,ITA,-7.507100247396963
Jamaica,JAM,5.022600854112561
Jordan,JOR,39.41018512338011
Japan,JPN,11.964456652958361
Kazakhstan,KAZ,-11.28755466352061
Kenya,KEN,-10.218053765978212
Kyrgyz Republic,KGZ,-1.1670587592364328
Cambodia,KHM,-14.897799715140732
Kiribati,KIR,18.104351464211412
St. Kitts and Nevis,KNA,-39.49289045390918
"Korea, Rep.",KOR,5.497158561656889
Kuwait,KWT,9.955308468387315
Latin America & Caribbean (excluding high income),LAC,17.48097476686994
Lao PDR,LAO,-10.506905385368675
Lebanon,LBN,27.159936659951654
Liberia,LBR,18.259895714011755
Libya,LBY,16.691872042436948
St. Lucia,LCA,-40.24454334912634
Latin America & Caribbean,LCN,17.712445942184786
Least developed countries: UN classification,LDC,-2.821101923434753
Low income,LIC,-1.809709946760922
Sri Lanka,LKA,-38.74717490194427
Lower middle income,LMC,-5.418220343004911
Low & middle income,LMY,-4.497091013938594
Lesotho,LSO,-8.645562664124725
Late-demographic dividend,LTE,-2.8711929887499963
Lithuania,LTU,-4.412237540593992
Luxembourg,LUX,-6.2952149177007755
Latvia,LVA,-0.22150007682226658
"Macao SAR, China",MAC,2.5012782786541266
Morocco,MAR,13.123320559812335
Moldova,MDA,1.542463115556707
Madagascar,MDG,3.2084552403672646
Maldives,MDV,-23.09078942074933
Middle East & North Africa,MEA,0.08544507584809935
Mexico,MEX,15.7778296209515
Marshall Islands,MHL,37.73093308903073
Middle income,MIC,-4.585369851298161
"Macedonia, FYR",MKD,-3.1165570661737405
Mali,MLI,6.558057810449746
Malta,MLT,17.969064712608898
Myanmar,MMR,-11.910580152371491
Middle East & North Africa (excluding high income),MNA,2.437851921027196
Montenegro,MNE,2.845431246879947
Mongolia,MNG,10.531145707623587
Mozambique,MOZ,3.108056757896051
Mauritania,MRT,13.178191129793476
Mauritius,MUS,-23.783861818555692
Malawi,MWI,-14.899957986278189
Malaysia,MYS,4.44806306692972
North America,NAC,-3.7294638363522523
Namibia,NAM,-7.617291467523394
Niger,NER,-14.482829585220511
Nigeria,NGA,4.409431493241492
Nicaragua,NIC,16.39098086198028
Netherlands,NLD,6.982831611851324
Norway,NOR,-6.327566821701296
Nepal,NPL,-15.929904422693067
Nauru,NRU,40.68576007049049
New Zealand,NZL,8.511667538247849
OECD members,OED,0.49005097781451923
Oman,OMN,1.0925377791167818
