"","country.code","country","country.x","country.y","year","happiness"
"1","","China, Macao SAR",NA,NA,NA,NA
"2","","China, Hong Kong SAR",NA,NA,NA,NA
"3","ABW","Aruba",NA,NA,NA,NA
"4","AFG","Afghanistan","Afghanistan","Afghanistan",2015,3.9828546
"5","AGO","Angola",NA,NA,NA,NA
"6","ALB","Albania","Albania","Albania",2015,4.6066508
"7","ANG","Anguilla",NA,NA,NA,NA
"8","ARG","Argentina","Argentina","Argentina",2015,6.6971307
"9","ARM","Armenia","Armenia","Armenia",2015,4.3483195
"10","ATG","Antigua and Barbuda",NA,NA,NA,NA
"11","AUS","Australia","Australia","Australia",2015,7.3090606
"12","AUT","Austria","Austria","Austria",2015,7.076447
"13","AZE","Azerbaijan","Azerbaijan","Azerbaijan",2015,5.1467748
"14","BDI","Burundi",NA,NA,NA,NA
"15","BEL","Belgium","Belgium","Belgium",2015,6.9042192
"16","BEN","Benin","Benin","Benin",2015,3.6246643
"17","BFA","Burkina Faso","Burkina Faso","Burkina Faso",2015,4.4189301
"18","BGD","Bangladesh","Bangladesh","Bangladesh",2015,4.6334739
"19","BGR","Bulgaria","Bulgaria","Bulgaria",2015,4.8654013
"20","BHR","Bahrain","Bahrain","Bahrain",2015,6.0073752
"21","BHS","Bahamas",NA,NA,NA,NA
"22","BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina",2015,5.117178
"23","BLR","Belarus","Belarus","Belarus",2015,5.7189078
"24","BLZ","Belize",NA,NA,NA,NA
"25","BOL","Bolivia (Plurinational State of)","Bolivia (Plurinational State of)","Bolivia",2015,5.8343291
"26","BRA","Brazil","Brazil","Brazil",2015,6.5468969
"27","BRN","Brunei Darussalam",NA,NA,NA,NA
"28","BTN","Bhutan","Bhutan","Bhutan",2015,5.0821285
"29","BWA","Botswana","Botswana","Botswana",2015,3.7619648
"30","CAF","Central African Rep.",NA,NA,NA,NA
"31","CAN","Canada","Canada","Canada",2015,7.4127727
"32","CHE","Switzerland","Switzerland","Switzerland",2015,7.5721369
"33","CHL","Chile","Chile","Chile",2015,6.5327497
"34","CHN","China","China","China",2015,5.3038778
"35","CIV","Cote d'Ivoire","Cote d'Ivoire","Cote d'Ivoire",2015,4.4450388
"36","CMR","Cameroon","Cameroon","Cameroon",2015,5.0379648
"37","COD","Dem. Rep. of the Congo","Dem. Rep. of the Congo","Democratic Republic of Congo",2015,3.9027417
"38","COG","Congo","Congo","Congo",2015,4.6908302
"39","COL","Colombia","Colombia","Colombia",2015,6.3875718
"40","CPV","Cabo Verde",NA,NA,NA,NA
"41","CRI","Costa Rica","Costa Rica","Costa Rica",2015,6.8540044
"42","CUB","Cuba",NA,NA,NA,NA
"43","CUW","Cura<e7>ao",NA,NA,NA,NA
"44","CYM","Cayman Islands",NA,NA,NA,NA
"45","CYP","Cyprus","Cyprus","Cyprus",2015,5.4391613
"46","CZE","Czech Rep.","Czech Rep.","Czech Republic",2015,6.6080174
"47","DEU","Germany","Germany","Germany",2015,7.0371375
"48","DJI","Djibouti",NA,NA,NA,NA
"49","DNK","Denmark","Denmark","Denmark",2015,7.5144248
"50","DOM","Dominican Rep.","Dominican Rep.","Dominican Republic",2015,5.0618625
"51","DZA","Algeria",NA,NA,NA,NA
"52","ECU","Ecuador","Ecuador","Ecuador",2015,5.9640751
"53","EGY","Egypt","Egypt","Egypt",2015,4.7625384
"54","ERI","Eritrea",NA,NA,NA,NA
"55","ESP","Spain","Spain","Spain",2015,6.3806634
"56","EST","Estonia","Estonia","Estonia",2015,5.6289086
"57","ETH","Ethiopia","Ethiopia","Ethiopia",2015,4.5731549
"58","FIN","Finland","Finland","Finland",2015,7.4479256
"59","FJI","Fiji",NA,NA,NA,NA
"60","FRA","France","France","France",2015,6.357625
"61","FSM","Micronesia (Federated States of)",NA,NA,NA,NA
"62","GAB","Gabon","Gabon","Gabon",2015,4.6610126
"63","GBR","United Kingdom","United Kingdom","United Kingdom",2015,6.5154452
"64","GEO","Georgia","Georgia","Georgia",2015,4.1219406
"65","GHA","Ghana","Ghana","Ghana",2015,3.9859161
"66","GIN","Guinea","Guinea","Guinea",2015,3.5046935
"67","GMB","Gambia",NA,NA,NA,NA
"68","GNB","Guinea-Bissau",NA,NA,NA,NA
"69","GRC","Greece","Greece","Greece",2015,5.622519
"70","GRD","Grenada",NA,NA,NA,NA
"71","GTM","Guatemala","Guatemala","Guatemala",2015,6.4649868
"72","GUY","Guyana",NA,NA,NA,NA
"73","HND","Honduras","Honduras","Honduras",2015,4.8454366
"74","HRV","Croatia","Croatia","Croatia",2015,5.2054381
"75","HTI","Haiti","Haiti","Haiti",2015,3.5697625
"76","HUN","Hungary","Hungary","Hungary",2015,5.3443832
"77","IDN","Indonesia","Indonesia","Indonesia",2015,5.0427999
"78","IND","India","India","India",2015,4.3420792
"79","IRL","Ireland","Ireland","Ireland",2015,6.8301253
