country_code,happiness
AFG,3.9828546
ALB,4.6066508
ARG,6.6971307
ARM,4.3483195
AUS,7.3090606
AUT,7.076447
AZE,5.1467748
BHR,6.0073752
BGD,4.6334739
BLR,5.7189078
BEL,6.9042192
BEN,3.6246643
BTN,5.0821285
BOL,5.8343291
BIH,5.117178
BWA,3.7619648
BRA,6.5468969
BGR,4.8654013
BFA,4.4189301
KHM,4.1621647
CMR,5.0379648
CAN,7.4127727
TCD,4.3226752
CHL,6.5327497
CHN,5.3038778
COL,6.3875718
COG,4.6908302
CRI,6.8540044
CIV,4.4450388
HRV,5.2054381
CYP,5.4391613
CZE,6.6080174
COD,3.9027417
DNK,7.5144248
DOM,5.0618625
ECU,5.9640751
EGY,4.7625384
SLV,6.018496
EST,5.6289086
ETH,4.5731549
FIN,7.4479256
FRA,6.357625
GAB,4.6610126
GEO,4.1219406
DEU,7.0371375
GHA,3.9859161
GRC,5.622519
GTM,6.4649868
GIN,3.5046935
HTI,3.5697625
HND,4.8454366
HUN,5.3443832
ISL,7.4980707
IND,4.3420792
IDN,5.0427999
IRN,4.7499557
IRQ,4.4933772
IRL,6.8301253
ISR,7.079411
ITA,5.8476839
JPN,5.8796844
JOR,5.4045935
KAZ,5.949995
KEN,4.3576179
OWID_KOS,5.0774608
KWT,6.1460319
KGZ,4.905376
LVA,5.8805976
LBN,5.1719713
LBR,2.7015913
LBY,5.6154046
LTU,5.7113781
LUX,6.7015715
MKD,4.9755898
MDG,3.592514
MWI,3.8676383
MYS,6.3221211
MLI,4.5820985
MLT,6.6133943
MRT,3.9226642
MEX,6.2362871
MDA,6.0174723
MNG,4.9827199
MNE,5.1249213
MAR,5.163157
MOZ,4.5497675
MMR,4.2238464
NPL,4.8124366
NLD,7.3244371
NZL,7.4181209
NIC,5.9241128
NER,3.6714537
NGA,4.9329147
OWID_CYN,5.8425503
NOR,7.6034336
PAK,4.823195
PSE,4.6952391
PAN,6.6055503
PRY,5.5597243
PER,5.5772634
PHL,5.5474892
POL,6.0070219
PRT,5.0808663
QAT,6.3745294
ROU,5.7774911
RUS,5.9955387
RWA,3.483109
SAU,6.3454919
SEN,4.6170006
SRB,5.3176851
SLE,4.908618
SGP,6.619525
SVK,6.1620045
SVN,5.7406421
SOM,5.3536448
ZAF,4.8873258
KOR,5.7802114
SSD,4.0707712
ESP,6.3806634
LKA,4.6116066
SWE,7.2889223
CHE,7.5721369
SYR,3.4619129
TWN,6.450088
TJK,5.1242108
TZA,3.6605973
THA,6.2017627
TGO,3.768302
TUN,5.1316118
TUR,5.5144653
TKM,5.79146
UGA,4.2376866
UKR,3.9645429
ARE,6.5683975
GBR,6.5154452
USA,6.8639469
URY,6.6280804
UZB,5.9723644
VEN,5.5688004
VNM,5.0763154
YEM,2.9826739
ZMB,4.8431644
ZWE,3.7031913
