"","country","country.code","mmr"
"1","Aruba","ABW",NA
"2","Afghanistan","AFG","396"
"3","Angola","AGO","477"
"4","Albania","ALB","29"
"5","Andorra","AND",NA
"6","Arab World","ARB","156"
"7","United Arab Emirates","ARE","6"
"8","Argentina","ARG","52"
"9","Armenia","ARM","25"
"10","American Samoa","ASM",NA
"11","Antigua and Barbuda","ATG",NA
"12","Australia","AUS","6"
"13","Austria","AUT","4"
"14","Azerbaijan","AZE","25"
"15","Burundi","BDI","712"
"16","Belgium","BEL","7"
"17","Benin","BEN","405"
"18","Burkina Faso","BFA","371"
"19","Bangladesh","BGD","176"
"20","Bulgaria","BGR","11"
"21","Bahrain","BHR","15"
"22","Bahamas, The","BHS","80"
"23","Bosnia and Herzegovina","BIH","11"
"24","Belarus","BLR","4"
"25","Belize","BLZ","28"
"26","Bermuda","BMU",NA
"27","Bolivia","BOL","206"
"28","Brazil","BRA","44"
"29","Barbados","BRB","27"
"30","Brunei Darussalam","BRN","23"
"31","Bhutan","BTN","148"
"32","Botswana","BWA","129"
"33","Central African Republic","CAF","882"
"34","Canada","CAN","7"
"35","Central Europe and the Baltics","CEB","11"
"36","Switzerland","CHE","5"
"37","Channel Islands","CHI",NA
"38","Chile","CHL","22"
"39","China","CHN","27"
"40","Cote d'Ivoire","CIV","645"
"41","Cameroon","CMR","596"
"42","Congo, Dem. Rep.","COD","693"
"43","Congo, Rep.","COG","442"
"44","Colombia","COL","64"
"45","Comoros","COM","335"
"46","Cabo Verde","CPV","42"
"47","Costa Rica","CRI","25"
"48","Caribbean small states","CSS","99"
"49","Cuba","CUB","39"
"50","Curacao","CUW",NA
"51","Cayman Islands","CYM",NA
"52","Cyprus","CYP","7"
"53","Czech Republic","CZE","4"
"54","Germany","DEU","6"
"55","Djibouti","DJI","229"
"56","Dominica","DMA",NA
"57","Denmark","DNK","6"
"58","Dominican Republic","DOM","92"
"59","Algeria","DZA","140"
"60","East Asia & Pacific (excluding high income)","EAP","63"
"61","Early-demographic dividend","EAR","159"
"62","East Asia & Pacific","EAS","59"
"63","Europe & Central Asia (excluding high income)","ECA","25"
"64","Europe & Central Asia","ECS","16"
"65","Ecuador","ECU","64"
"66","Egypt, Arab Rep.","EGY","33"
"67","Euro area","EMU","6"
"68","Eritrea","ERI","501"
"69","Spain","ESP","5"
"70","Estonia","EST","9"
"71","Ethiopia","ETH","353"
"72","European Union","EUU","8"
"73","Fragile and conflict affected situations","FCS","475"
"74","Finland","FIN","3"
"75","Fiji","FJI","30"
"76","France","FRA","8"
"77","Faroe Islands","FRO",NA
"78","Micronesia, Fed. Sts.","FSM","100"
"79","Gabon","GAB","291"
