"","country","asylum.seekers","country.code"
"1","Afghanistan",82,"AFG"
"2","Albania",830,"ALB"
"3","Algeria",6593,"DZA"
"4","Angola",30143,"AGO"
"5","Anguilla",0,"ANG"
"6","Antigua and Barbuda",0,"ATG"
"7","Argentina",1077,"ARG"
"8","Armenia",66,"ARM"
"9","Aruba",0,"ABW"
"10","Australia",20677,"AUS"
"11","Austria",80075,"AUT"
"12","Azerbaijan",220,"AZE"
"13","Bahamas",21,"BHS"
"14","Bahrain",113,"BHR"
"15","Bangladesh",0,"BGD"
"16","Belarus",279,"BLR"
"17","Belgium",36009,"BEL"
"18","Belize",720,"BLZ"
"19","Benin",178,"BEN"
"20","Bolivia (Plurinational State of)",0,"BOL"
"21","Bosnia and Herzegovina",23,"BIH"
"22","Botswana",135,"BWA"
"23","Brazil",20815,"BRA"
"24","Brunei Darussalam",0,"BRN"
"25","Bulgaria",9499,"BGR"
"26","Burkina Faso",143,"BFA"
"27","Burundi",2931,"BDI"
"28","Cabo Verde",0,"CPV"
"29","Cambodia",27,"KHM"
"30","Cameroon",5373,"CMR"
"31","Canada",19642,"CAN"
"32","Cayman Islands",4,"CYM"
"33","Central African Rep.",334,"CAF"
"34","Chad",2898,"TCD"
"35","Chile",1064,"CHL"
"36","China",677,"CHN"
"37","China, Hong Kong SAR",2315,""
"38","China, Macao SAR",7,""
"39","Colombia",115,"COL"
"40","Congo",4342,"COG"
"41","Costa Rica",3283,"CRI"
"42","Cote d'Ivoire",649,"CIV"
"43","Croatia",53,"HRV"
"44","Cuba",25,"CUB"
"45","Cyprus",2252,"CYP"
"46","Czech Rep.",659,"CZE"
"47","Dem. People's Rep. of Korea",0,"PRK"
"48","Dem. Rep. of the Congo",983,"COD"
"49","Denmark",2948,"DNK"
"50","Djibouti",2641,"DJI"
"51","Dominican Rep.",758,"DOM"
"52","Ecuador",11583,"ECU"
"53","Egypt",38171,"EGY"
"54","El Salvador",1,"SLV"
"55","Eritrea",1,"ERI"
"56","Estonia",86,"EST"
"57","Ethiopia",2131,"ETH"
"58","Fiji",8,"FJI"
"59","Finland",24366,"FIN"
"60","France",63057,"FRA"
"61","Gabon",1941,"GAB"
"62","Gambia",0,"GMB"
"63","Georgia",733,"GEO"
"64","Germany",420625,"DEU"
"65","Ghana",1859,"GHA"
"66","Greece",26141,"GRC"
"67","Grenada",0,"GRD"
"68","Guatemala",125,"GTM"
"69","Guinea",198,"GIN"
"70","Guinea-Bissau",123,"GNB"
"71","Guyana",1,"GUY"
"72","Haiti",11,"HTI"
"73","Honduras",9,"HND"
"74","Hungary",36693,"HUN"
"75","Iceland",161,"ISL"
"76","India",6480,"IND"
"77","Indonesia",7591,"IDN"
"78","Iran (Islamic Rep. of)",42,"IRN"
"79","Iraq",7420,"IRQ"
"80","Ireland",5055,"IRL"
"81","Israel",11677,"ISR"
"82","Italy",60156,"ITA"
"83","Jamaica",5,"JAM"
"84","Japan",13831,"JPN"
"85","Jordan",24935,"JOR"
"86","Kazakhstan",97,"KAZ"
"87","Kenya",39969,"KEN"
"88","Kuwait",900,"KWT"
"89","Kyrgyzstan",158,"KGZ"
"90","Latvia",179,"LVA"
"91","Lebanon",12139,"LBN"
"92","Lesotho",4,"LSO"
"93","Liberia",15,"LBR"
"94","Libya",27479,"LBY"
"95","Liechtenstein",97,"LIE"
"96","Lithuania",82,"LTU"
"97","Luxembourg",2395,"LUX"
"98","Madagascar",12,"MDG"
"99","Malawi",14470,"MWI"
"100","Malaysia",60415,"MYS"
"101","Mali",340,"MLI"
"102","Malta",590,"MLT"
"103","Mauritania",497,"MRT"
"104","Mexico",1350,"MEX"
"105","Micronesia (Federated States of)",11,"FSM"
"106","Monaco",0,"MCO"
"107","Mongolia",6,"MNG"
"108","Montenegro",20,"MNE"
"109","Morocco",1565,"MAR"
"110","Mozambique",14825,"MOZ"
"111","Myanmar",1,"MMR"
"112","Namibia",1112,"NAM"
"113","Nauru",302,"NRU"
"114","Nepal",17,"NPL"
"115","Netherlands",28051,"NLD"
"116","New Zealand",159,"NZL"
"117","Nicaragua",131,"NIC"
"118","Niger",106,"NER"
"119","Nigeria",386,"NGA"
"120","Norway",25316,"NOR"
"121","Oman",190,"OMN"
"122","Pakistan",6442,"PAK"
"123","Panama",2934,"PAN"
"124","Papua New Guinea",445,"PNG"
"125","Paraguay",37,"PRY"
"126","Peru",379,"PER"
"127","Philippines",210,"PHL"
"128","Poland",3303,"POL"
"129","Portugal",580,"ORT"
"130","Qatar",118,"QAT"
"131","Rep. of Korea",5442,"KOR"
"132","Rep. of Moldova",110,"MDA"
"133","Romania",432,"ROU"
"134","Russian Federation",2088,"RUS"
"135","Rwanda",414,"RWA"
"136","Saint Lucia",1,"LCA"
"137","Samoa",3,"WSM"
"138","Saudi Arabia",32,"SAU"
"139","Senegal",3119,"SEN"
"140","Serbia and Kosovo (S/RES/1244 (1999))",116,"SRB"
"141","Sierra Leone",17,"SLE"
"142","Singapore",0,"SGP"
"143","Sint Maarten (Dutch part)",8,"SXM"
"144","Slovakia",173,"SVK"
"145","Slovenia",103,"SVN"
"146","Solomon Islands",0,"SLB"
"147","Somalia",10120,"SOM"
"148","South Africa",1096063,"ZAF"
"149","South Sudan",839,"SSD"
"150","Spain",11020,"ESP"
"151","Sri Lanka",608,"LKA"
"152","Sudan",12581,"SDN"
"153","Suriname",4,"SUR"
"154","Swaziland",268,"SWZ"
"155","Sweden",157046,"SWE"
"156","Switzerland",32701,"CHE"
"157","Syrian Arab Rep.",5251,"SYR"
"158","Tajikistan",288,"TJK"
"159","Thailand",8271,"THA"
"160","The former Yugoslav Republic of Macedonia",17,"MKD"
"161","Timor-Leste",0,"TMP"
"162","Togo",752,"TGO"
"163","Trinidad and Tobago",82,"TTO"
"164","Tunisia",90,"TUN"
"165","Turkey",212408,"TUR"
"166","Turkmenistan",0,"TKM"
