"","country.code","country.x","refugees","country.y","population","pop.million","refugees.per.million.pop","country"
"1","ABW","Aruba",2,"Aruba",104341,0.104341,19,"Aruba"
"2","AFG","Afghanistan",257554,"Afghanistan",33736494,33.736494,7634,"Afghanistan"
"3","AGO","Angola",15555,"Angola",27859305,27.859305,558,"Angola"
"4","ALB","Albania",104,"Albania",2880703,2.880703,36,"Albania"
"5","ARG","Argentina",3207,"Argentina",43417765,43.417765,74,"Argentina"
"6","ARM","Armenia",19319,"Armenia",2916950,2.91695,6623,"Armenia"
"7","ATG","Antigua and Barbuda",15,"Antigua and Barbuda",99923,0.099923,150,"Antigua and Barbuda"
"8","AUS","Australia",36917,"Australia",23850784,23.850784,1548,"Australia"
"9","AUT","Austria",72216,"Austria",8642699,8.642699,8356,"Austria"
"10","AZE","Azerbaijan",1278,"Azerbaijan",9649341,9.649341,132,"Azerbaijan"
"11","BDI","Burundi",53363,"Burundi",10199270,10.19927,5232,"Burundi"
"12","BEL","Belgium",35314,"Belgium",11274196,11.274196,3132,"Belgium"
"13","BEN","Benin",530,"Benin",10575952,10.575952,50,"Benin"
"14","BFA","Burkina Faso",34017,"Burkina Faso",18110624,18.110624,1878,"Burkina Faso"
"15","BGD","Bangladesh",231958,"Bangladesh",161200886,161.200886,1439,"Bangladesh"
"16","BGR","Bulgaria",16557,"Bulgaria",7177991,7.177991,2307,"Bulgaria"
"17","BHR","Bahrain",247,"Bahrain",1371855,1.371855,180,"Bahrain"
"18","BHS","Bahamas",8,"Bahamas, The",386838,0.386838,21,"Bahamas"
"19","BIH","Bosnia and Herzegovina",6798,"Bosnia and Herzegovina",3535961,3.535961,1923,"Bosnia and Herzegovina"
"20","BLR","Belarus",1809,"Belarus",9489616,9.489616,191,"Belarus"
"21","BLZ","Belize",35,"Belize",359288,0.359288,97,"Belize"
"22","BOL","Bolivia (Plurinational State of)",775,"Bolivia",10724705,10.724705,72,"Bolivia (Plurinational State of)"
"23","BRA","Brazil",8707,"Brazil",205962108,205.962108,42,"Brazil"
"24","BRN","Brunei Darussalam",0,"Brunei Darussalam",417542,0.417542,0,"Brunei Darussalam"
"25","BWA","Botswana",2130,"Botswana",2209197,2.209197,964,"Botswana"
"26","CAF","Central African Rep.",7330,"Central African Republic",4546100,4.5461,1612,"Central African Rep."
"27","CAN","Canada",135888,"Canada",35832513,35.832513,3792,"Canada"
