"","country.code","country.x","refugees","country.y","population","pop.million","country","refugees.per.million.pop"
"1","ABW","Aruba",2,"Aruba",104341,0.104341,"Aruba",19
"2","AFG","Afghanistan",257554,"Afghanistan",33736494,33.736494,"Afghanistan",7634
"3","AGO","Angola",15555,"Angola",27859305,27.859305,"Angola",558
"4","ALB","Albania",104,"Albania",2880703,2.880703,"Albania",36
"5","ARG","Argentina",3207,"Argentina",43417765,43.417765,"Argentina",74
"6","ARM","Armenia",19319,"Armenia",2916950,2.91695,"Armenia",6623
"7","ATG","Antigua and Barbuda",15,"Antigua and Barbuda",99923,0.099923,"Antigua and Barbuda",150
"8","AUS","Australia",36917,"Australia",23850784,23.850784,"Australia",1548
"9","AUT","Austria",72216,"Austria",8642699,8.642699,"Austria",8356
"10","AZE","Azerbaijan",1278,"Azerbaijan",9649341,9.649341,"Azerbaijan",132
"11","BDI","Burundi",53363,"Burundi",10199270,10.19927,"Burundi",5232
"12","BEL","Belgium",35314,"Belgium",11274196,11.274196,"Belgium",3132
"13","BEN","Benin",530,"Benin",10575952,10.575952,"Benin",50
"14","BFA","Burkina Faso",34017,"Burkina Faso",18110624,18.110624,"Burkina Faso",1878
"15","BGD","Bangladesh",231958,"Bangladesh",161200886,161.200886,"Bangladesh",1439
"16","BGR","Bulgaria",16557,"Bulgaria",7177991,7.177991,"Bulgaria",2307
"17","BHR","Bahrain",247,"Bahrain",1371855,1.371855,"Bahrain",180
"18","BHS","Bahamas",8,"Bahamas, The",386838,0.386838,"Bahamas",21
"19","BIH","Bosnia and Herzegovina",6798,"Bosnia and Herzegovina",3535961,3.535961,"Bosnia and Herzegovina",1923
"20","BLR","Belarus",1809,"Belarus",9489616,9.489616,"Belarus",191
"21","BLZ","Belize",35,"Belize",359288,0.359288,"Belize",97
"22","BOL","Bolivia (Plurinational State of)",775,"Bolivia",10724705,10.724705,"Bolivia (Plurinational State of)",72
"23","BRA","Brazil",8707,"Brazil",205962108,205.962108,"Brazil",42
"24","BRN","Brunei Darussalam",0,"Brunei Darussalam",417542,0.417542,"Brunei Darussalam",0
"25","BWA","Botswana",2130,"Botswana",2209197,2.209197,"Botswana",964
