"","country","total","country.code"
"1","Afghanistan",1705912,"AFG"
"2","Albania",8377,"ALB"
"3","Algeria",101634,"DZA"
"4","Angola",45700,"AGO"
"5","Anguilla",1,"ANG"
"6","Antigua and Barbuda",15,"ATG"
"7","Argentina",4293,"ARG"
"8","Armenia",19696,"ARM"
"9","Aruba",2,"ABW"
"10","Australia",57594,"AUS"
"11","Austria",153263,"AUT"
"12","Azerbaijan",623373,"AZE"
"13","Bahamas",115,"BHS"
"14","Bahrain",371,"BHR"
"15","Bangladesh",231958,"BGD"
"16","Belarus",7728,"BLR"
"17","Belgium",77128,"BEL"
"18","Belize",812,"BLZ"
"19","Benin",714,"BEN"
"20","Bolivia (Plurinational State of)",775,"BOL"
"21","Bosnia and Herzegovina",157708,"BIH"
"22","Botswana",2317,"BWA"
"23","Brazil",35790,"BRA"
"24","Brunei Darussalam",20524,"BRN"
"25","Bulgaria",26134,"BGR"
"26","Burkina Faso",35834,"BFA"
"27","Burundi",84427,"BDI"
"28","Cabo Verde",115,"CPV"
"29","Cambodia",301,"KHM"
"30","Cameroon",470903,"CMR"
"31","Canada",155554,"CAN"
"32","Cayman Islands",16,"CYM"
"33","Central African Rep.",483143,"CAF"
"34","Chad",523658,"TCD"
"35","Chile",2913,"CHL"
"36","China",301730,"CHN"
"37","China, Hong Kong SAR",2450,""
"38","China, Macao SAR",7,""
"39","Colombia",6939420,"COL"
"40","Congo",52427,"COG"
"41","Costa Rica",8705,"CRI"
"42","Cote d'Ivoire",1011420,"CIV"
"43","Croatia",17538,"HRV"
"44","Cuba",328,"CUB"
"45","Cyprus",15319,"CYP"
"46","Czech Rep.",5807,"CZE"
"47","Dem. People's Rep. of Korea",16,"PRK"
"48","Dem. Rep. of the Congo",2701323,"COD"
"49","Denmark",36863,"DNK"
"50","Djibouti",22006,"DJI"
"51","Dominican Rep.",135143,"DOM"
"52","Ecuador",133128,"ECU"
"53","Egypt",250780,"EGY"
"54","El Salvador",10149,"SLV"
"55","Eritrea",2589,"ERI"
"56","Estonia",85555,"EST"
"57","Ethiopia",739151,"ETH"
"58","Fiji",20,"FJI"
"59","Finland",39516,"FIN"
"60","France",337616,"FRA"
"61","Gabon",2915,"GAB"
"62","Gambia",7854,"GMB"
"63","Georgia",271755,"GEO"
"64","Germany",749487,"DEU"
"65","Ghana",19307,"GHA"
"66","Greece",51625,"GRC"
"67","Grenada",1,"GRD"
"68","Guatemala",3851,"GTM"
"69","Guinea",9037,"GIN"
"70","Guinea-Bissau",8807,"GNB"
"71","Guyana",12,"GUY"
"72","Haiti",991,"HTI"
"73","Honduras",179144,"HND"
"74","Hungary",41218,"HUN"
"75","Iceland",471,"ISL"
"76","India",208821,"IND"
"77","Indonesia",14180,"IDN"
"78","Iran (Islamic Rep. of)",983631,"IRN"
"79","Iraq",4740388,"IRQ"
"80","Ireland",11280,"IRL"
"81","Israel",44665,"ISR"
"82","Italy",179182,"ITA"
"83","Jamaica",17,"JAM"
"84","Japan",16913,"JPN"
"85","Jordan",689339,"JOR"
"86","Kazakhstan",8719,"KAZ"
"87","Kenya",619728,"KEN"
"88","Kuwait",94670,"KWT"
"89","Kyrgyzstan",9642,"KGZ"
"90","Latvia",252582,"LVA"
"91","Lebanon",1088282,"LBN"
"92","Lesotho",35,"LSO"
"93","Liberia",50059,"LBR"
"94","Libya",471825,"LBY"
"95","Liechtenstein",249,"LIE"
"96","Lithuania",4641,"LTU"
"97","Luxembourg",3809,"LUX"
"98","Madagascar",22,"MDG"
"99","Malawi",23489,"MWI"
"100","Malaysia",246331,"MYS"
"101","Mali",131728,"MLI"
"102","Malta",7670,"MLT"
"103","Mauritania",78391,"MRT"
"104","Mexico",4286,"MEX"
"105","Micronesia (Federated States of)",14,"FSM"
"106","Monaco",32,"MCO"
"107","Mongolia",21,"MNG"
"108","Montenegro",16033,"MNE"
"109","Morocco",5487,"MAR"
"110","Mozambique",20447,"MOZ"
"111","Myanmar",1414356,"MMR"
"112","Namibia",4558,"NAM"
"113","Nauru",808,"NRU"
"114","Nepal",33068,"NPL"
"115","Netherlands",118545,"NLD"
"116","New Zealand",1615,"NZL"
"117","Nicaragua",463,"NIC"
"118","Niger",333271,"NER"
"119","Nigeria",2174314,"NGA"
"120","Norway",78412,"NOR"
"121","Oman",457,"OMN"
"122","Pakistan",3448561,"PAK"
"123","Panama",20258,"PAN"
"124","Papua New Guinea",9955,"PNG"
"125","Paraguay",214,"PRY"
"126","Peru",1867,"PER"
"127","Philippines",325707,"PHL"
"128","Poland",28195,"POL"
"129","Portugal",1447,"ORT"
"130","Qatar",1450,"QAT"
"131","Rep. of Korea",7102,"KOR"
"132","Rep. of Moldova",5571,"MDA"
"133","Romania",3295,"ROU"
"134","Russian Federation",418417,"RUS"
"135","Rwanda",146130,"RWA"
"136","Saint Lucia",2,"LCA"
"137","Samoa",3,"WSM"
"138","Saudi Arabia",70221,"SAU"
"139","Senegal",17512,"SEN"
"140","Serbia and Kosovo (S/RES/1244 (1999))",258746,"SRB"
"141","Sierra Leone",777,"SLE"
"142","Singapore",1,"SGP"
"143","Sint Maarten (Dutch part)",11,"SXM"
"144","Slovakia",2604,"SVK"
"145","Slovenia",403,"SVN"
"146","Solomon Islands",3,"SLB"
