"","country","country.code.x","population","country.code.y","country.code"
"1","Afghanistan","AFG",33736494,"AFG","AFG"
"2","Albania","ALB",2880703,"ALB","ALB"
"3","Algeria","DZA",39871528,"DZA","DZA"
"4","Angola","AGO",27859305,"AGO","AGO"
"5","Antigua and Barbuda","ATG",99923,"ATG","ATG"
"6","Argentina","ARG",43417765,"ARG","ARG"
"7","Armenia","ARM",2916950,"ARM","ARM"
"8","Aruba","ABW",104341,"ABW","ABW"
"9","Australia","AUS",23850784,"AUS","AUS"
"10","Austria","AUT",8642699,"AUT","AUT"
"11","Azerbaijan","AZE",9649341,"AZE","AZE"
"12","Bahrain","BHR",1371855,"BHR","BHR"
"13","Bangladesh","BGD",161200886,"BGD","BGD"
"14","Belarus","BLR",9489616,"BLR","BLR"
"15","Belgium","BEL",11274196,"BEL","BEL"
"16","Belize","BLZ",359288,"BLZ","BLZ"
"17","Benin","BEN",10575952,"BEN","BEN"
"18","Bhutan","BTN",787386,"BHU","BTN"
"19","Bosnia and Herzegovina","BIH",3535961,"BIH","BIH"
"20","Botswana","BWA",2209197,"BWA","BWA"
"21","Brazil","BRA",205962108,"BRA","BRA"
"22","Brunei Darussalam","BRN",417542,"BRN","BRN"
"23","Bulgaria","BGR",7177991,"BGR","BGR"
"24","Burkina Faso","BFA",18110624,"BFA","BFA"
"25","Burundi","BDI",10199270,"BDI","BDI"
"26","Cabo Verde","CPV",532913,"CPV","CPV"
"27","Cambodia","KHM",15517635,"KHM","KHM"
"28","Cameroon","CMR",22834522,"CMR","CMR"
"29","Canada","CAN",35832513,"CAN","CAN"
"30","Cayman Islands","CYM",59963,"CYM","CYM"
"31","Chad","TCD",14009413,"TCD","TCD"
"32","Chile","CHL",17762681,"CHL","CHL"
"33","China","CHN",1371220000,"CHN","CHN"
"34","Colombia","COL",48228697,"COL","COL"
"35","Costa Rica","CRI",4807852,"CRI","CRI"
"36","Cote d'Ivoire","CIV",23108472,"CIV","CIV"
"37","Croatia","HRV",4203604,"HRV","HRV"
"38","Cuba","CUB",11461432,"CUB","CUB"
"39","Cyprus","CYP",1160985,"CYP","CYP"
"40","Denmark","DNK",5683483,"DNK","DNK"
"41","Djibouti","DJI",927414,"DJI","DJI"
"42","Ecuador","ECU",16144368,"ECU","ECU"
"43","El Salvador","SLV",6312478,"SLV","SLV"
"44","Eritrea","ERI",NA,"ERI","ERI"
"45","Estonia","EST",1315407,"EST","EST"
"46","Ethiopia","ETH",99873033,"ETH","ETH"
"47","Fiji","FJI",892149,"FJI","FJI"
"48","Finland","FIN",5479531,"FIN","FIN"
"49","France","FRA",66593366,"FRA","FRA"
"50","Gabon","GAB",1930175,"GAB","GAB"
"51","Georgia","GEO",3717100,"GEO","GEO"
"52","Germany","DEU",81686611,"DEU","DEU"
"53","Ghana","GHA",27582821,"GHA","GHA"
"54","Greece","GRC",10820883,"GRC","GRC"
"55","Grenada","GRD",106823,"GRD","GRD"
"56","Guatemala","GTM",16252429,"GTM","GTM"
"57","Guinea","GIN",12091533,"GIN","GIN"
"58","Guinea-Bissau","GNB",1770526,"GNB","GNB"
"59","Guyana","GUY",768514,"GUY","GUY"
"60","Haiti","HTI",10711061,"HTI","HTI"
"61","Honduras","HND",8960829,"HND","HND"
"62","Hungary","HUN",9843028,"HUN","HUN"
"63","Iceland","ISL",330815,"ISL","ISL"
"64","India","IND",1309053980,"IND","IND"
"65","Indonesia","IDN",258162113,"IDN","IDN"
"66","Iraq","IRQ",36115649,"IRQ","IRQ"
"67","Ireland","IRL",4701957,"IRL","IRL"
"68","Israel","ISR",8380100,"ISR","ISR"
"69","Italy","ITA",60730582,"ITA","ITA"
"70","Jamaica","JAM",2871934,"JAM","JAM"
"71","Japan","JPN",127141000,"JPN","JPN"
"72","Jordan","JOR",9159302,"JOR","JOR"
"73","Kazakhstan","KAZ",17542806,"KAZ","KAZ"
"74","Kenya","KEN",47236259,"KEN","KEN"
"75","Kuwait","KWT",3935794,"KWT","KWT"
"76","Latvia","LVA",1977527,"LVA","LVA"
"77","Lebanon","LBN",5851479,"LBN","LBN"
"78","Lesotho","LSO",2174645,"LSO","LSO"
"79","Liberia","LBR",4499621,"LBR","LBR"
"80","Libya","LBY",6234955,"LBY","LBY"
"81","Liechtenstein","LIE",37403,"LIE","LIE"
"82","Lithuania","LTU",2904910,"LTU","LTU"
"83","Luxembourg","LUX",569604,"LUX","LUX"
"84","Madagascar","MDG",24234088,"MDG","MDG"
