Country Rank,country_code,ti_cpi
1,DNK,91
1,NZL,91
3,FIN,90
4,SWE,89
5,NOR,88
6,CHE,86
7,LUX,85
7,SGP,85
9,NLD,84
10,CAN,83
11,DEU,81
11,GBR,81
13,AUS,79
13,ISL,79
15,BEL,77
16,AUT,76
16,USA,76
18,HKG,75
18,IRL,75
18,JPN,75
21,URY,74
22,QAT,71
23,CHL,70
23,EST,70
23,FRA,70
23,ARE,70
27,BTN,65
28,PRT,64
29,BWA,63
29,POL,63
32,CYP,61
32,ISR,61
34,MLT,60
34,SVN,60
36,LTU,59
37,ESP,58
38,CZE,56
38,LVA,56
40,CPV,55
40,CRI,55
40,SYC,55
43,KOR,54
43,RWA,54
45,JOR,53
45,MUS,53
45,NAM,53
48,GEO,52
48,SAU,52
50,BHR,51
50,HRV,51
50,HUN,51
50,SVK,51
54,MYS,50
55,KWT,49
56,CUB,47
56,GHA,47
58,GRC,46
60,OMN,45
61,ITA,44
61,LSO,44
61,SEN,44
61,ZAF,44
66,STP,42
66,MKD,42
66,TUR,42
69,BGR,41
69,JAM,41
72,SLV,39
72,MNG,39
72,PAN,39
72,TTO,39
76,BIH,38
76,BRA,38
76,BFA,38
76,IND,38
76,THA,38
76,TUN,38
76,ZMB,38
83,BEN,37
83,CHN,37
83,COL,37
83,LBR,37
83,LKA,37
88,ALB,36
88,DZA,36
88,EGY,36
88,IDN,36
88,MAR,36
88,PER,36
88,SUR,36
95,ARM,35
95,MLI,35
95,PHL,35
98,BOL,34
98,DJI,34
98,GAB,34
98,NER,34
102,DOM,33
102,ETH,33
102,MDA,33
106,ARG,32
106,BLR,32
106,CIV,32
106,ECU,32
106,TGO,32
111,HND,31
111,MWI,31
111,MRT,31
111,MEX,31
111,MOZ,31
111,VNM,31
117,PAK,30
117,TZA,30
119,AZE,29
119,GUY,29
119,RUS,29
119,SLE,29
123,GMB,28
123,GTM,28
123,KAZ,28
123,KGZ,28
123,LBN,28
123,MDG,28
123,TLS,28
130,CMR,27
130,IRN,27
130,NPL,27
130,NIC,27
130,PRY,27
130,UKR,27
136,COM,26
136,NGA,26
136,TJK,26
139,BGD,25
139,GIN,25
139,KEN,25
139,LAO,25
139,PNG,25
139,UGA,25
145,CAF,24
146,COG,23
147,TCD,22
147,COD,22
147,MMR,22
150,BDI,21
150,KHM,21
150,ZWE,21
153,UZB,19
154,ERI,18
154,SYR,18
154,TKM,18
154,YEM,18
158,GNB,17
158,HTI,17
158,VEN,17
161,IRQ,16
161,LBY,16
163,AGO,15
163,SSD,15
165,SDN,12
166,AFG,11
167,PRK,8
167,SOM,8
